date,RF,MKT,R_fin,R_pead
2002-04-30,,,,
2002-05-31,0.0008463380617329541,-0.08537563026308981,0.006978666127415545,-0.0021179964491321868
2002-06-30,0.0009404198283804455,0.13257411752552906,-0.0051077853117624805,-0.007183224739799821
2002-07-31,0.0010815590609114523,-0.03890299166727074,0.007753709087475857,0.013432180989648379
2002-08-31,0.0012056931600048504,0.007828945259509501,-0.00032691492955616575,-0.001808656819594412
2002-09-30,0.0012147002870013246,-0.05158287821850083,0.00737515237919234,0.002416122820251998
2002-10-31,0.001116588326521617,-0.0489599305761248,0.004238264048579687,0.0032973202912294775
2002-11-30,0.0013028075570649111,-0.06144832682762358,-0.002748938401102019,0.005910953358694737
2002-12-31,0.0013648883311330184,-0.04848910478515811,0.016601970432711,0.009427456783152377
2003-01-31,0.001240730631765885,0.08983848679306905,0.002889593696347781,-0.016376984007603568
2003-02-28,0.000930403728459428,0.010957903688330495,0.003051733166469117,-0.005063795709458918
2003-03-31,0.001302807557064689,-0.009369394893929628,0.004093722580034764,0.01638786097501671
2003-04-30,0.001358880523298689,-0.004452117336256944,-0.0024127631442458775,0.0373488321564136
2003-05-31,0.0009033806162794811,0.04165734209506278,-0.004887238013656092,-0.018898010662153686
2003-06-30,0.001311818748670479,-0.06093271187329252,0.009671347971724031,0.00749318826933848
2003-07-31,0.0014730367524069532,-0.008448445294029105,-0.015931183584840525,0.020029068292839736
2003-08-31,0.0013568759271538333,-0.03559236640559427,0.0036266085469211506,-0.01123918330090351
2003-09-30,0.0016112377197492478,-0.044560103562141684,-0.01226299789866414,0.005861237085412807
2003-10-31,0.0013378444584866145,-0.018645042428057312,-0.013300851833538574,0.029681437390910725
2003-11-30,0.0014790379640625684,0.030484082993488926,0.007383289825035444,-0.018600782429082363
2003-12-31,0.0015421362498309055,0.05988909619177085,0.01514138363197065,0.06399735848904331
2004-01-31,0.0008713502280328633,0.057335855309911476,-0.015377963418482299,-0.04958179857115308
2004-02-29,0.0012427328128834514,0.0630301133575566,0.02059352127468872,-0.035461349915479
2004-03-31,0.0012767788663377022,0.04450933552727654,0.009651015050506917,-0.011444237131696733
2004-04-30,0.0012767773845532293,-0.09355989436920986,0.0014220048513852168,0.020329572813601315
2004-05-31,0.0011085750404180583,-0.020524835331113933,-0.005790279150948541,0.004559780480612674
2004-06-30,0.0016993767793085368,-0.10009615643966885,0.014471856943493233,0.009958650387026813
2004-07-31,0.001729425872523116,-0.006446620057429908,-0.014049737801818674,0.00940839386582959
2004-08-31,0.001719409354545176,-0.032816112581809054,-0.0009420074960296287,0.0026049409597795337
2004-09-30,0.0014520052318864884,0.0491656522217927,0.010013318168924812,0.0014587516149674462
2004-10-31,0.0011115787324875726,-0.057597644917056656,-0.002631275297441227,-0.0008823508001715719
2004-11-30,0.0015110886860512096,0.014491406302673537,0.00805484157649572,-0.020682527291586372
2004-12-31,0.0015401329722937174,-0.06017849202752079,0.013388250422018744,0.021960601514165567
2005-01-31,0.0013668866072182873,-0.06042007563505136,-0.009381310761420625,-0.00011940439614571696
2005-02-28,0.0008363226330645457,0.09746655865418807,0.00692037699343484,0.006756281487594884
2005-03-31,0.0011025796795167686,-0.095033121045773,0.00246697427110254,0.028915015549646206
2005-04-30,0.0006622087156626932,-0.02337670515232171,0.013448264189840187,0.04932102047773684
2005-05-31,0.0005521434022761618,-0.08206702513590247,-0.007110784870104525,-0.02845497211375353
2005-06-30,0.0006862246356893476,0.017209861119956926,0.008407637881915953,0.020783414816293144
2005-07-31,0.00066220872066447,0.0008667354333236066,-0.0016869994091640583,0.0374690433481219
2005-08-31,0.000685224456789868,0.09084567824447043,0.011863095956022751,-0.060881777328878894
2005-09-30,0.0006792200792768988,-0.003323346608148592,0.020337291112091205,0.015410687174499338
2005-10-31,0.0005121228983522297,-0.056302903714255725,0.019069609784293562,0.010359769410912878
2005-11-30,0.00084433987582333,0.003783062958819139,0.023263576678737408,-0.0014453488518394453
2005-12-31,0.0011005776925481214,0.06287865775782531,-0.006780595030362768,0.018082423723967178
2006-01-31,0.0008003000700127494,0.0901177387674823,0.01714508310087548,-0.028621978607795806
2006-02-28,0.0008123103431068035,0.038351083147699194,0.008298673836574677,0.014226184416026966
2006-03-31,0.0010935715350972597,0.007461492965494365,0.024667113414377995,-0.002111110377593206
2006-04-30,0.0010234972385803065,0.121275880161267,0.004859431117792967,-0.002204369749014723
2006-05-31,0.0009924648296104621,0.1631331719591811,-0.056564417357486296,-0.00371225559128352
2006-06-30,0.0013088168146728751,0.02788576187953784,0.026794752339566852,0.01643503574248595
2006-07-31,0.0013678902149611982,-0.05742229570309365,-0.029051385275756236,-0.00361822607403961
2006-08-31,0.0015451406559143788,0.03481699555919482,0.008671741634481034,-0.0015775094022423275
2006-09-30,0.0014209605953228177,0.059531160612383616,-0.04820228460838727,0.016898629838106638
2006-10-31,0.0012357180117774647,0.049756810753248004,-0.01573376200312504,0.014305784552966438
2006-11-30,0.001660314226579418,0.14067133712576307,-0.016715525171133283,0.03205547765555056
2006-12-31,0.0016182456974018766,0.1303068385091979,-0.035891544718882784,0.027670154089586063
2007-01-31,0.0015411270306202596,0.17581685851914197,0.03588273122535057,-0.030153687201826318
2007-02-28,0.0011696379384134037,0.08184141860525296,0.028913874893462643,-0.04606960619957168
2007-03-31,0.00170939304889961,0.11650252914019577,-0.027141524153392216,-0.02105627385955766
2007-04-30,0.00167433348170265,0.2878827013317522,0.06642593797879937,-0.0706564308306461
2007-05-31,0.0014750264262173296,0.12197668455020927,-0.0010823261091235103,-0.07015417319725026
