,SmallGrowth,SmallNeutral,SmallValue,BigGrowth,BigNeutral,BigValue,Winner,Loser
1995-01-31,-0.1554768143139173,-0.1333254827617077,-0.1478382193230626,-0.1280577204413243,-0.1442226815817034,-0.1117722318164251,0.0,0.0
1995-02-28,-0.0455990328919615,-0.0400433979485989,0.0008538315560744,-0.0230679059344783,-0.0254907270786338,-0.0078112313898406,-0.02401491327768912,-0.0007570916687474893
1995-03-31,0.1857213020224961,0.1486450690663989,0.1613072400092317,0.2160749770209367,0.1583658598631363,0.0767851624592563,0.20544528754511426,0.07674470629256924
1995-04-30,-0.0750443418577402,-0.1182020456598378,-0.1067081225047525,-0.1103492894750001,-0.1153074569709855,-0.1075921001226165,-0.09481141231464363,-0.10651584311780404
1995-05-31,0.2352271285942109,0.2065980118593091,0.1642980520342816,0.2139965015114422,0.1804259520830291,0.0908944715670434,0.212402417564014,0.16100951816709919
1995-06-30,-0.0954960242637498,-0.0819082744669426,-0.0483841275408185,-0.121278521658976,-0.0976031636349765,-0.0306475997605327,-0.1068569332274889,-0.04676366296159451
1995-07-31,0.0470599212933875,0.0551720529821908,0.107063271355597,0.0484025926386826,0.080291596424632,0.1205586056950349,0.04850997539123636,0.06870825963145188
1995-08-31,-0.0366392552379388,0.0208305079153263,0.0998489572159022,-0.0275548412408356,0.098222519741659,0.1653115856609994,-0.010946229007940178,0.08365587151437781
1995-09-30,-0.0655054656563135,-0.0069013822680238,0.027938740029223,-0.0548929238230149,0.0292569981799593,0.0586924030907956,-0.034658919703700386,0.006695907472672458
1995-10-31,-0.0091236524069692,0.0154028629434783,0.0470627210170588,-0.0315999049065375,0.0005112171556569,0.0374894589740069,0.02446274971516016,0.0007582293420766995
1995-11-30,-0.0260020554518437,-0.0535834973119412,-0.1135997733578657,-0.0320076961656952,-0.1042140632080075,-0.1318887282460311,-0.09712104406664746,-0.040273598819395406
1995-12-31,-0.1365763047326852,-0.0900822677531731,-0.1196825732828051,-0.1272850721022733,-0.109046794409513,-0.1164709321779465,-0.12356909712246944,-0.10934252142891032
1996-01-31,-0.0821867166872952,-0.0503228654523193,0.002255646984774,-0.0853070932354986,-0.0323165043407069,0.0167258610084923,-0.0019309775416055386,-0.06353816699224901
1996-02-29,0.05144882573641,0.0185495627642713,-0.0028737159039802,0.0512653492066041,0.0162038379358622,0.0282009422541378,0.01302073884455246,0.03602628814670794
1996-03-31,0.0063490686458227,-0.0086479860475749,0.0078775922388549,-0.0026701921546827,-0.0021353302971895,0.0149021812256178,0.0066933975878213925,-0.009294524574956053
1996-04-30,0.2609610538690372,0.3491638212977239,0.3012417117925894,0.2338655858376872,0.3706939488310534,0.2631145734788311,0.27983462418197824,0.38785644319439827
1996-05-31,-0.0903104648312624,-0.0729755654264323,-0.0830334510747261,-0.0698877008939964,-0.020198040743642,0.0606183740788093,-0.0641010813939834,-0.0805494102347073
1996-06-30,0.0496708634711307,0.1629910857758083,0.1524711496273982,0.2842617415671618,0.3142826891130479,0.2389332484163078,0.1861390186963423,0.11493348744477272
1996-07-31,0.0494512077433844,0.1782125382565103,0.4346419659654417,0.0250396263918966,0.1328889643264548,0.1409959826677942,0.24100938707835295,0.12167421082962981
1996-08-31,-0.0441966917130534,-0.0209948425775806,0.0042804308955026,2.5727208659231948e-05,-0.0242992642559362,0.023527509909889,0.01785709973398486,-0.044571501225396104
1996-09-30,0.0161094812457118,0.0329262881716498,0.0482211428984886,0.0848653924627294,0.064994580029037,0.0372006027395639,0.03775101610710907,0.03358536713750793
1996-10-31,0.2024424475254462,0.3216658369734895,0.4661513312609335,0.088677405611572,0.0994115055510667,0.3872242863885538,0.2564786595345696,0.21072792763641512
1996-11-30,0.066413069116157,0.1192607625532486,0.1587410759409142,0.0377978304954775,0.0539236070010418,0.0644017310541993,0.1167859757596954,0.08404518988402021
1996-12-31,-0.2023006996152992,-0.2099798139287342,-0.2877763367459436,-0.1499259426744701,-0.129241148759967,-0.2033485237005295,-0.26094865106095855,-0.16272067223748676
1997-01-31,0.1130190807439028,0.107362571021814,0.1418826919203544,0.0171902630305069,0.092865259070777,0.0799422021586482,0.13600442345879848,0.06640515313458195
1997-02-28,0.1169705735259394,0.08482443601542,0.058555514248219,0.0784816836838349,0.0779725087404377,0.0425808778480376,0.036228560854449476,0.14761404954280088
1997-03-31,0.2515357869751013,0.216014846320544,0.187145940127714,0.170528136736582,0.2491519540403313,0.1255775931071416,0.18779646980567244,0.2189362983630283
1997-04-30,0.106495874224366,0.0851325909322828,0.0509996720183985,0.1308798489999594,0.2085946060499262,0.014904817783776,0.07409009244899889,0.0871606626025061
1997-05-31,-0.1132507912330768,-0.1394716457945775,-0.1082529230851636,-0.0542907302064132,-0.0649568808118267,-0.0893207750124667,-0.08040442991382024,-0.13183085167470543
1997-06-30,0.0045300302292328,-0.0243009667351075,-0.0251891348575232,0.0348795043324519,0.0011313826958432,-0.0747855046828054,0.04137800369890199,-0.03934717833851076
1997-07-31,-0.0399645779211422,-0.0459584450542347,-0.0419831488543605,-0.0991722445713789,-0.0666491405881096,-0.0361038870326094,-0.08834581504805572,-0.005521902831342018
1997-08-31,0.0094208693201363,0.0459209206284663,0.0972771514698136,-0.0520362750984318,0.0166372764327298,0.1013198909419121,-0.0455728758687759,0.08861359666301638
1997-09-30,-0.0868245570402262,-0.1083198188740939,-0.1293502171113273,-0.0960091582777147,-0.1280777328833104,-0.1327082966294341,-0.13076829998952477,-0.09217748877725462
