,Small,Big,Growth,Value,Robust,Weak,Conservative,Aggressive
1995-01-31,-0.1275748834839648,-0.1290205896853622,-0.1465340523368602,-0.0866456543254027,-0.11136304568880862,-0.11216540945778697,-0.14502691501391285,-0.10869943317344621
1995-02-28,-0.0128692612199322,-0.0248393586443139,-0.040353533725268,-0.0036168041396502,-0.03602518810911681,0.012034754370346068,-0.03725574606802562,-0.019617629573507545
1995-03-31,0.146748260780952,0.1792009319779945,0.286616296955422,0.0643482836231734,0.19478163887736755,0.11153530864017314,0.1609238330239784,0.14147498090923571
1995-04-30,-0.1091505885144997,-0.0993657727439316,-0.0988904054287119,-0.0460645340891968,-0.11693738876385218,-0.10913603399958083,-0.10264864193166112,-0.101669142934104
1995-05-31,0.2312049057257088,0.1763160045686402,0.2182698238561844,0.1051062727578149,0.08082013969016355,0.16458874443150262,0.13791852563427942,0.2375257668946369
1995-06-30,-0.0296075974302536,-0.0937955263991566,-0.1198849549732392,-0.0342823906562249,-0.07765603109005959,-0.0856558877015422,-0.07739743042713909,-0.12474397203906451
1995-07-31,0.0766669799161487,0.072628254894274,0.0523944281503208,0.1420132262645597,0.02271501994339742,0.10493532513044879,0.10687196253717168,0.061759000576867784
1995-08-31,0.0198536637109802,0.0478538194007527,-0.0520339597908721,0.079319516332891,0.08405311205591581,0.11059754957733858,0.06917394763453655,0.009060458661467985
1995-09-30,-0.0092815095516377,0.0066456005413997,-0.0475446073302339,0.0172263220107846,-0.01274887385647372,-0.011301402947043071,0.030910651344050244,-0.02598985980300139
1995-10-31,0.0092924593038501,-0.00398608292988,-0.0315121467175943,-0.0049347509750879,-0.03942775799675713,-0.020595128732430523,0.06982182558217054,-0.030335586778682977
1995-11-30,-0.0549863767052378,-0.1003442032158331,-0.0761203779081663,-0.0464057149950184,-0.08112709335767998,-0.060761420910577235,-0.12616294654806937,-0.07099086318245607
1995-12-31,-0.1068046393107199,-0.117036004259422,-0.1189654376492039,-0.0898765038986203,-0.11077536249240638,-0.11985808675014131,-0.13184536499389699,-0.11645637491857419
1996-01-31,-0.0319708953134862,-0.0326955788782968,-0.0790858604132959,-0.0280338027802431,-0.023741655001991768,-0.06080403855606775,-0.014172429536796982,-0.061793960491949185
1996-02-29,0.0170431275803082,0.0280581862117768,0.0339561119156788,0.0282041996747763,0.04020659840696239,0.04253596005061966,-0.005055891709249805,0.0427782917905577
1996-03-31,-0.012212751143396,0.0058146166061203,0.00075783324995,-0.0114194054049588,0.004287796626410101,0.008779024792277657,-0.0035968410411654217,0.009782901055452209
1996-04-30,0.4306480683222318,0.2426926642356319,0.2254448064612693,0.4549999363147925,0.4576488084745536,0.2655442705574673,0.21808062913055815,0.2740111611453193
1996-05-31,-0.0722292196063645,0.0149725225262022,-0.079687942900525,0.0378982718255489,0.08701994847824257,-0.13352327284899523,-0.05692031523279972,-0.0251723862888672
1996-06-30,0.1142226167004947,0.365502348102122,0.2536579364156566,0.1494036956430393,0.4112700532969036,0.11313680163531248,0.22866116653570456,0.36026927164232325
1996-07-31,0.2575181745190482,0.0365787569921325,0.0401933350616008,0.4346057462322403,0.0724590435448218,0.12759367134729982,0.050016932267663794,0.08068925259100168
1996-08-31,-0.0681068095792448,-0.0037739600782348,0.0112150723817181,0.0464212178785075,0.014863303295200359,0.012849875623811347,-0.07213352979524412,-0.011446720118451603
1996-09-30,0.0443938674356421,0.0794563607741314,0.0672954577326661,0.0703579440807145,0.054684228585693884,0.12166253476852273,0.002698732328788589,0.06826319055731389
1996-10-31,0.3699599568718186,0.1715360166909456,0.0512242564462628,0.3409043376492107,0.23873272951453806,0.5669107929729948,0.562872817777146,0.012728802644260018
1996-11-30,0.0976024228642959,0.0264843565529353,0.0423538905798943,0.0670126314982784,-0.007011613805909533,0.06591833593970131,0.06714242602859732,0.03229897149166594
1996-12-31,-0.1785520911315636,-0.1481881253849269,-0.1357465001169836,-0.1642994587795156,-0.09928288894494885,-0.27260397780414447,-0.30859451407143057,-0.08340393390365386
1997-01-31,0.0952026424891114,0.0514849827942449,0.0590595408141814,0.0818816227333685,0.032814066754713433,0.13289422372726967,0.11515378788703856,0.1067694637823533
1997-02-28,0.1574647692735404,0.0452600362106947,0.0402247388954706,0.1392371219350197,0.02091198780064163,0.09707048233623317,0.11586669033819108,0.06885749655918416
1997-03-31,0.2559700961404463,0.1754001250687693,0.2232811292300236,0.11463140433646,0.20900435259203953,0.13306119173282216,0.15658863267354128,0.2597130191268229
1997-04-30,0.0981695619303806,0.1400159553588886,0.2535243124733946,0.0244827735995518,0.17530134991061908,-0.020817234092483372,0.03240806895874049,0.23578724283216612
1997-05-31,-0.086135009673377,-0.0371040515156655,-0.0166963490553853,-0.0630712935055819,0.01060943870968245,-0.07612967407495463,-0.0529964306637738,0.002142882364074339
1997-06-30,-0.0386763310241523,-0.0010054413059895,0.0593001354936217,-0.1137737687329274,0.055323211877890355,-0.03765302974706175,-0.06616670120459534,0.04484144923349587
1997-07-31,0.0028297316622034,-0.0897389196364014,-0.1116606014631999,0.0072766226341767,-0.10192881720814784,-0.03947366090682347,-0.0399568546846657,-0.07248988495688191
1997-08-31,0.091611015549696,-0.009064907433645,-0.0970587627383623,0.1454417949769921,-0.09791264034028402,0.12904139973401318,0.18218227205352888,-0.05687392245721268
1997-09-30,-0.0640507598488221,-0.0987870634103404,-0.0832395494537308,-0.1182178569086338,-0.07667733157621603,-0.11656807760128307,-0.12907435997810401,-0.12070553765707492
