,SmallGrowth,SmallNeutralBm,SmallValue,BigGrowth,BigNeutralBm,BigValue,SmallRobust,SmallNeutralOp,SmallWeak,BigRobust,BigNeutralOp,BigWeak,SmallConservative,SmallNeutralInv,SmallAggressive,BigConservative,BigNeutralInv,BigAggressive
1995-01-31,-0.1554768143139173,-0.1333254827617077,-0.1478382193230626,-0.1280577204413243,-0.1442226815817034,-0.1117722318164251,-0.12448067788847461,-0.1460041299851903,-0.14689300121192095,-0.10652237456259528,-0.13248925371814024,-0.1613663734199614,-0.15337015809790566,-0.1490883159699673,-0.12285955350713818,-0.1521876874841862,-0.13586483527013715,-0.09726995185299936
1995-02-28,-0.0455990328919615,-0.0400433979485989,0.0008538315560744,-0.0230679059344783,-0.0254907270786338,-0.0078112313898406,-0.022506935420616214,-0.05760098049356954,-0.016006599795125642,-0.005747029393901482,-0.013252700729568412,-0.01933807198701365,-0.01459741330047637,-0.04723449992352313,-0.03698165515809382,-0.025251170029667036,-0.002527032276534724,-0.013689389620433534
1995-03-31,0.1857213020224961,0.1486450690663989,0.1613072400092317,0.2160749770209367,0.1583658598631363,0.0767851624592563,0.09250917566647221,0.19346484681907894,0.1666831588592501,0.1459615802222245,0.12273231569735277,0.1601986196649312,0.15087792648961917,0.18927987366142496,0.155963366123252,0.1295863511327533,0.15952273567282926,0.11963915483472909
1995-04-30,-0.0750443418577402,-0.1182020456598378,-0.1067081225047525,-0.1103492894750001,-0.1153074569709855,-0.1075921001226165,-0.14488415239345553,-0.09140622867270198,-0.09681837433732654,-0.09156777504716185,-0.10891738842189747,-0.11650000707286812,-0.11008195169691826,-0.07351859201499622,-0.13236321454018252,-0.11308417968544493,-0.10994113618196999,-0.09055214802925093
1995-05-31,0.2352271285942109,0.2065980118593091,0.1642980520342816,0.2139965015114422,0.1804259520830291,0.0908944715670434,0.15027900784961812,0.19863380107938178,0.24528108195969267,0.09164834539932842,0.2348456787130655,0.2013793589710544,0.2078983024533696,0.21572781085972959,0.17145489887949705,0.16720652179372042,0.18653482379444597,0.1781982970214413
1995-06-30,-0.0954960242637498,-0.0819082744669426,-0.0483841275408185,-0.121278521658976,-0.0976031636349765,-0.0306475997605327,-0.08142724216978714,-0.06778591704391601,-0.07806250518057611,-0.08018459519643972,-0.11856906931316458,-0.09618685809596672,-0.06591642055845237,-0.06882419392684647,-0.0877828000806341,-0.07509853140829215,-0.09918029651343208,-0.11189826554537619
1995-07-31,0.0470599212933875,0.0551720529821908,0.107063271355597,0.0484025926386826,0.080291596424632,0.1205586056950349,0.0294564663512642,0.07252330230992388,0.1050478919161657,0.05978580083729068,0.05253878192200956,0.08627829682730259,0.06584482831878402,0.07032955421861842,0.07976115896970204,0.07400148648837424,0.09505140147157065,0.03636742160836581
1995-08-31,-0.0366392552379388,0.0208305079153263,0.0998489572159022,-0.0275548412408356,0.098222519741659,0.1653115856609994,0.03548940254380906,0.01747168047030012,0.06793729158408035,0.09654136101219235,0.010148248473109467,0.04847236387234255,0.025883468158766076,0.05033331013314535,0.034408345217229686,0.08758166295608305,0.04320581445408078,0.030194272531420152
1995-09-30,-0.0655054656563135,-0.0069013822680238,0.027938740029223,-0.0548929238230149,0.0292569981799593,0.0586924030907956,-0.00832774842881201,-0.019843063482339107,0.01899796857126046,0.004532359620692095,-0.0222928779030116,0.007691395723430139,-0.005816682654593008,-0.009562138652260632,-0.0011127440366588415,0.020961733489693435,-0.0017375236055089394,-0.02531654681761808
1995-10-31,-0.0091236524069692,0.0154028629434783,0.0470627210170588,-0.0315999049065375,0.0005112171556569,0.0374894589740069,-4.4121945074082625e-05,0.027684772098244936,0.03334453506191082,-0.008262280890928286,-0.01927386823175703,-0.005943337618731892,0.02523547188972497,0.01678296162701476,0.024251783887291545,0.020597450270842144,-0.005656711478994714,-0.026011097884352297
1995-11-30,-0.0260020554518437,-0.0535834973119412,-0.1135997733578657,-0.0320076961656952,-0.1042140632080075,-0.1318887282460311,-0.056661618046160434,-0.06647587164847035,-0.09251988041581805,-0.07701574865436889,-0.053393804208396234,-0.09587822647070843,-0.06471952850634188,-0.07245477254036914,-0.0797062091234404,-0.11021382277670855,-0.08270101627579896,-0.05111692465041373
1995-12-31,-0.1365763047326852,-0.0900822677531731,-0.1196825732828051,-0.1272850721022733,-0.109046794409513,-0.1164709321779465,-0.08814799942711571,-0.11112463857277832,-0.12607178178589018,-0.10919474233787863,-0.11450215036356826,-0.1238402526379333,-0.11989228259839368,-0.09903342623366707,-0.11090376695385828,-0.12064019677452209,-0.12329701611136157,-0.11143449718254417
1996-01-31,-0.0821867166872952,-0.0503228654523193,0.002255646984774,-0.0853070932354986,-0.0323165043407069,0.0167258610084923,-0.0522879149464035,-0.0421926741394566,-0.015196808909910708,-0.02807258763647935,-0.08243207918301154,-0.03369588063184792,-0.02790563520780731,-0.055617337093276875,-0.0263324272974087,-0.024708222522366263,-0.03814484774519733,-0.06999413154092982
1996-02-29,0.05144882573641,0.0185495627642713,-0.0028737159039802,0.0512653492066041,0.0162038379358622,0.0282009422541378,0.017515350044250422,0.021782781552926567,0.006162400141072943,0.03734801425847967,0.04035157717016924,0.032301432796882246,0.020067155383483692,0.02030258058302148,0.007678420577247325,0.029571559770259714,0.024245313464690055,0.059717064062102754
