,Small,Big,Growth,Value
1995-01-31,-0.12757488348396484,-0.12902058968536223,-0.14653405233686023,-0.08664565432540272
1995-02-28,-0.01286926121993226,-0.02483935864431397,-0.040353533725268065,-0.003616804139650265
1995-03-31,0.14674826078095204,0.17920093197799458,0.286616296955422,0.06434828362317346
1995-04-30,-0.10915058851449977,-0.09936577274393166,-0.09889040542871197,-0.04606453408919686
1995-05-31,0.23120490572570884,0.17631600456864027,0.21826982385618443,0.10510627275781492
1995-06-30,-0.02960759743025365,-0.09379552639915667,-0.11988495497323925,-0.03428239065622496
1995-07-31,0.07666697991614879,0.07262825489427405,0.052394428150320804,0.1420132262645597
1995-08-31,0.019853663710980296,0.04785381940075273,-0.05203395979087211,0.07931951633289103
1995-09-30,-0.009281509551637757,0.006645600541399732,-0.04754460733023391,0.017226322010784667
1995-10-31,0.009292459303850142,-0.003986082929880008,-0.03151214671759439,-0.004934750975087998
1995-11-30,-0.05498637670523787,-0.10034420321583315,-0.07612037790816639,-0.04640571499501844
1995-12-31,-0.10680463931071993,-0.11703600425942207,-0.11896543764920398,-0.08987650389862034
1996-01-31,-0.03197089531348629,-0.03269557887829688,-0.0790858604132959,-0.028033802780243144
1996-02-29,0.017043127580308237,0.028058186211776803,0.03395611191567882,0.028204199674776387
1996-03-31,-0.012212751143396039,0.005814616606120371,0.0007578332499500462,-0.011419405404958893
1996-04-30,0.4306480683222318,0.24269266423563196,0.2254448064612693,0.4549999363147925
1996-05-31,-0.07222921960636453,0.014972522526202292,-0.07968794290052506,0.037898271825548946
1996-06-30,0.11422261670049472,0.365502348102122,0.2536579364156566,0.14940369564303935
1996-07-31,0.25751817451904824,0.03657875699213253,0.04019333506160083,0.43460574623224035
1996-08-31,-0.06810680957924486,-0.003773960078234828,0.01121507238171815,0.046421217878507504
1996-09-30,0.04439386743564211,0.07945636077413143,0.0672954577326661,0.0703579440807145
1996-10-31,0.3699599568718186,0.17153601669094565,0.05122425644626283,0.3409043376492107
1996-11-30,0.09760242286429599,0.02648435655293535,0.04235389057989436,0.06701263149827841
1996-12-31,-0.17855209113156367,-0.14818812538492698,-0.13574650011698364,-0.16429945877951568
1997-01-31,0.09520264248911148,0.05148498279424496,0.05905954081418141,0.08188162273336852
1997-02-28,0.15746476927354047,0.04526003621069474,0.040224738895470624,0.1392371219350197
1997-03-31,0.2559700961404463,0.17540012506876934,0.22328112923002363,0.11463140433646002
1997-04-30,0.09816956193038062,0.14001595535888867,0.2535243124733946,0.024482773599551866
1997-05-31,-0.08613500967337706,-0.03710405151566554,-0.016696349055385307,-0.06307129350558194
1997-06-30,-0.038676331024152355,-0.0010054413059895628,0.059300135493621786,-0.11377376873292744
1997-07-31,0.0028297316622034607,-0.08973891963640146,-0.1116606014631999,0.0072766226341767215
1997-08-31,0.09161101554969608,-0.009064907433645075,-0.09705876273836234,0.14544179497699217
1997-09-30,-0.06405075984882214,-0.09878706341034049,-0.0832395494537308,-0.11821785690863384
1997-10-31,0.10209600648321482,0.1243073761292659,0.15796520942280923,0.05421492697282759
1997-11-30,0.0024986035129757056,-0.03954305366733757,-0.04584653005238892,-0.05799415726597912
1997-12-31,0.09539013355826498,0.0039070251101118725,0.06392498996350282,-0.008844170835734522
1998-01-31,0.07394425334861965,0.0094835004220446,0.042445933062191576,0.004585866594670529
1998-02-28,0.03547853140728585,-0.0417254976868533,-0.06459208790087267,0.03567941854018364
1998-03-31,0.10930467505917241,0.014506498150644642,0.029718236721356428,0.019015505075358208
1998-04-30,0.1468790526550685,0.04286744125258224,0.08705039360913824,0.0659465739214371
1998-05-31,0.16410251044654411,0.008644799484629262,-0.011156946754200425,0.061105344623075375
1998-06-30,-0.061129986021793536,-0.0859622954670457,-0.07691700547977931,-0.08520717000456024
1998-07-31,0.04143473039422951,-0.022532791411761344,-0.02169569482798639,0.012384427770699702
1998-08-31,-0.08462104378244761,-0.14812279296991637,-0.09070185763285432,-0.16077304102117607
1998-09-30,0.20387373092904126,0.05043618859710097,0.06339272641254401,0.11896069097248918
1998-10-31,0.040604591513103916,-0.04682422651224449,0.006931137153121991,-0.06315585895581277
1998-11-30,-0.0012162654143555995,0.02097717132766208,0.01835282607366051,0.011155527692477296
1998-12-31,-0.09843281323626718,-0.06746431863737878,-0.08405837196199673,-0.0505234687326408
1999-01-31,0.013325422489696148,-0.015520267870081539,-0.006182346985364129,-0.009103593500194518
1999-02-28,-0.030840197687850845,-0.04138224557716008,-0.017639962621553318,-0.04438797684329443
1999-03-31,0.17105279445115928,0.042286501675032895,0.014732947749194203,0.09681008135164015
1999-04-30,-0.051229985326575744,-0.025272455020530993,-0.03519311924407842,0.00628640833917804
1999-05-31,0.0698363643768094,0.17484584073193443,0.1599705023041702,0.05931958880277022
1999-06-30,0.3384473618116801,0.3359099750686887,0.4034223548603264,0.36568025087905465
1999-07-31,-0.047973054267441584,-0.08381695154208368,-0.09832240739831644,-0.09002018316942784
1999-08-31,0.08746259959679059,-0.004377730897700105,-0.04585165022190085,0.039963425985887424
1999-09-30,-0.005488253336923932,-0.04414733070268706,-0.027969074000855132,-0.02728280361849844
1999-10-31,-0.016761202448990375,-0.05442680348049178,-0.06659936642645115,-0.054333920940906055
1999-11-30,-0.007486190008421434,-0.06463747600406389,-0.0608333558499381,-0.0636050236242528
1999-12-31,-0.08048030034946263,-0.042315675470935066,0.010846151459493303,-0.06985503087426026
2000-01-31,0.1124244818801916,0.12834281041173634,0.28820134537804853,0.05251795637113199
2000-02-29,0.1684280749805218,0.11386659429540313,0.15917644221413751,0.10649607014583995
