,SmallLowOver,SmallMiddleOver,SmallHighOver,BigLowOver,BigMiddleOver,BigHighOver,SmallLowUnder,SmallMiddleUnder,SmallHighUnder,BigLowUnder,BigMiddleUnder,BigHighUnder
2000-01-31,0.18495818865430147,0.13837999473200835,0.09490784118854934,0.22824923594487934,0.12479486845749665,0.07814217973363724,0.12080605532165811,0.14083351822283352,0.15797115618682023,0.13898939285608058,0.1319974860538209,0.16991497645427822
2000-02-29,0.15062536785502578,0.1607530970956066,0.1399147762348476,0.13903563764790317,0.0991240253337895,0.08762810396843457,0.17997086627239223,0.14701855486158255,0.11824689388759935,0.08477529792258642,0.11026833929411772,0.1311876159177936
2000-03-31,0.0863063359945786,0.1331199102717915,0.15235548707416213,-0.019266278127127112,0.07202004197699075,0.07465120604610309,0.11291678146783757,0.15006748208106258,0.11539227794615847,0.042510204046184,0.05594009341629924,0.01860340805289895
2000-04-30,0.00016343883206104692,0.02421203253761095,0.051660644528239485,-0.00490033868166484,0.015311515746102566,0.04893182805241825,0.01304497595234655,0.021015230776536775,0.049683915641441256,0.06947350050451706,0.022099808808602184,-0.005908633045730638
2000-05-31,0.05525730082291447,0.06099191916853752,0.028400229278162215,0.021115276785475645,0.023688422883965776,0.013398529597198783,0.05527862511068937,0.04754793977981442,0.04880087524960475,0.03263557710772136,0.015168353313189886,0.016882597805319755
2000-06-30,-0.019306233705738363,0.039771179459467065,0.05832286796695141,0.0035199155434235685,0.012162145340644193,0.05380074787685252,0.03961203075106323,0.02700911643060655,0.01715265642951347,0.034761875260038044,0.024582172080682474,0.016379956332598145
2000-07-31,0.05336630230302575,0.059867607412303014,0.044362559257604905,0.04529249476371411,0.05105111616141689,0.035236675852868604,0.06495820328073165,0.055892739138507785,0.03843042481249581,0.06730836275112262,0.04080915715953015,0.029446193533008147
2000-08-31,0.01136941715132278,0.014398091696055992,0.01571936152694864,-0.0242553728248891,-0.020235761755088677,-0.004766027579673815,0.006768510916314696,0.017021242522839986,0.017302620666700852,-0.023442865981369243,-0.025960145595086415,0.00038246708183531375
2000-09-30,-0.024123747325129785,-0.022817915353368523,-0.05174587285964061,-0.05354582103204375,-0.060504078750137746,-0.06447836013588115,-0.029427847750656766,-0.02966806435594027,-0.03305994740143137,-0.0750724903001666,-0.05715343750708757,-0.05035063998513922
2000-10-31,0.03840707511191033,0.056347688905988846,0.04927146595859466,0.016977055046146328,0.018022759972698532,0.012149306815050442,0.0508380916899378,0.05205750151966315,0.03929483966682623,0.017760208027193913,0.022083587443414876,0.007478860001687293
2000-11-30,0.046315607470993614,0.07227397377825096,0.0801100411375002,0.028407833852450715,0.06457185074914396,0.06875752712910654,0.057427238470411535,0.0718980990882061,0.0651946631032152,0.04757228347763154,0.05922156567065051,0.06362844999917283
2000-12-31,0.011988954091399995,0.006671239600715362,0.024227379473712896,-0.010512976357999526,-0.010778143797118056,-0.01672228968817613,0.013257438914761055,0.015853898682401946,0.009139250260680631,-0.012355589893176977,-0.014463637826427345,-0.011255382359617205
2001-01-31,-0.03455068729418653,-0.012270698970950789,0.0155572045623118,-0.037305037943904606,-0.009230598210030028,0.013029978208853654,-0.008556318304095645,-0.008621143250943764,-0.01972601915736838,-0.010011093165813723,-0.0029082055109466154,-0.00826928155178197
2001-02-28,-0.06994964131436254,-0.06433767764162102,-0.06248945520428284,-0.0527995629575857,-0.05508190121163681,-0.05658383240506981,-0.0678059533962474,-0.06511854683844842,-0.06329232545532593,-0.062032337513367675,-0.05112607982317974,-0.05280739036312787
2001-03-31,0.09365818304683748,0.09113247092715682,0.08114236824720678,0.06989413399685396,0.06674760165633309,0.05992882462386118,0.08526948999629513,0.08571147895764009,0.09441237720872797,0.061122864481855554,0.07254471038101906,0.06162898070562872
2001-04-30,0.01700152820007017,0.007347019993114046,-0.0028770623671156015,-0.005003623863747864,-0.011304738794049696,-0.020928390343589398,0.016306269143663288,-0.00018747458966161812,0.006126264278952354,-0.007959893614729152,-0.017722458162247712,-0.010184156222556306
2001-05-31,0.08480580156161754,0.06549770450111847,0.05672053975046332,0.047636863288064824,0.019495493525301777,0.0069527301274421305,0.0780838269850972,0.06361301752868265,0.06461366604558627,0.024093058466668538,0.02160094384990674,0.021164314313244503
2001-06-30,-0.015168920745097458,0.013173967653161256,0.03540628298714954,-0.02955291392788517,-0.002530017746024127,0.019360873194356865,-0.0012218447084283435,0.011021673322787251,0.016384582023441174,-0.012319679306335374,-0.00684317919886368,0.01721726241575694
2001-07-31,-0.13425342668762597,-0.13469097064258817,-0.1284752285779126,-0.14243284758053854,-0.11850294752161739,-0.13953282077201046,-0.13339824583426263,-0.13390334147671556,-0.13138138234376961,-0.12160437476716868,-0.1380922901591145,-0.1350285848343742
2001-08-31,-0.020609513742821273,-0.03038940360357234,-0.02974499686219867,-0.04107590255341831,-0.04143779635279987,-0.0374976256158831,-0.033257237104733606,-0.029661377580541992,-0.017717197353114167,-0.0553396128170669,-0.040094578098347156,-0.02725483451398847
2001-09-30,-0.07568545114899916,-0.057977682411126996,-0.04547929082003177,-0.05219903009480886,-0.03343250902795747,-0.039470935694622344,-0.06756105579440297,-0.05927230538805195,-0.04782436202826179,-0.04622501336518681,-0.043921508702048695,-0.03299087260952138
2001-10-31,-0.07384394581391784,-0.05869182210863122,-0.05446314413949638,-0.03915335317855617,-0.050289142153907784,-0.03051544411294793,-0.061165646623380865,-0.062176796562627534,-0.0593368626804327,-0.04036583575571395,-0.03593646695859998,-0.04857972862931237
