,SmallProfit,SmallNeutralProfit,SmallUnprofit,BigProfit,BigNeutralProfit,BigUnprofit,SmallGrowth,SmallNeutralBm,SmallValue,BigGrowth,BigNeutralBm,BigValue,SmallUp,SmallNeutralMom,SmallDown,BigUp,BigNeutralMom,BigDown
1999-12-31,0.010924568432401527,-0.0034789974498472542,-0.019188576144047453,0.013004053454016118,-0.009119200659555293,-0.008281916401607914,0.007594810295336707,-0.003813429335814189,-0.02133837301108965,0.017157180144307782,-0.02016154006001447,-0.0011490082831869808,0.0530471593940991,0.011735508761143265,0.07144087143238664,0.07634046298503416,0.0033438115755277664,0.013497485950017873
2000-01-31,0.03871387763744627,0.02037056364981682,-0.003512903275089019,0.04182860313424408,-0.018598225904632337,-0.03710349367911747,0.045414790889753975,0.00895493293804317,-0.0022344382903337623,0.02192523280388503,-0.015637379600177748,-0.015251880285951813,0.10555970924959945,0.01215806338976888,0.01646934691235158,0.13735436750421948,0.010404067616561985,-0.024830209076670773
2000-02-29,0.029094189895947142,0.020818536113982322,0.010927362614416403,-0.002288984449795528,0.02451057092768827,-0.02407059030073655,-0.0017001915669444534,0.026054097514261354,0.03855661484491346,0.0051407594756096575,-0.0008819761166108941,-0.00511629368130917,0.038592263424637396,0.06120752127547746,0.09147966939449703,0.06917366061196817,0.014800673334942172,0.028789802448009993
2000-03-31,0.02558603897743761,-0.005219098667440858,0.060741583903295204,-0.05042687870150686,-0.011102287838839375,0.027557633488707323,0.014147044025055733,0.04402377196145957,-0.0010981155457294722,-0.03676908398189194,-0.015541782704241558,0.009218927387222742,0.07694210132187163,0.09848710266399796,0.11983466858113179,0.02167242195236385,0.003827676164504634,0.022904771773623933
2000-04-30,0.0041573534649193,-0.01504143699569882,0.008958984001682158,-0.0020865523057085333,-0.00962259711487079,0.03314969824145231,-0.004529348502482322,0.002910681678385041,-0.00838062351217983,-0.009290156373466751,0.010684163179383477,0.01713760353977878,0.0201217040499162,0.05158421276993108,0.07487084842383118,0.03654196127778131,0.03547160838052599,0.05265522392785882
2000-05-31,0.09965415383632381,0.03128937738719695,0.09797653821669483,0.04863712155862654,0.02392834079597339,-0.005824867381133192,0.09906503054380233,0.05828013268092769,0.06520832537000132,0.045783351217932866,0.035184450854039095,-0.007553180343325638,0.08131656873914284,0.04862891405702441,0.09274227168689775,0.028440708589773323,0.019226191614652777,0.030146564124547748
2000-06-30,0.007626841597530021,-0.0011100377735467903,0.0010561203824457355,0.005014048169916796,-0.001931670342518288,-0.008242394308643264,-0.022073611562359874,-0.006940484440476236,0.03251909229917249,-0.0205061075173405,0.002818471051213134,0.01785982601045899,0.018000124795361616,0.032284835212346374,0.10023346896464425,-0.006421925241012816,0.04062352663904001,0.06869434253477702
2000-07-31,0.01311782385711302,0.006325103389576592,0.019404080989493533,-0.006919077418398367,-0.00485718507513988,0.008561728039564898,0.0021811747674829185,0.00769006738690714,0.026132171264166892,-0.02366839467342119,0.005444107363173467,0.012819136701740952,0.03699689603787637,0.045611735600589176,0.09103317432066782,0.025601319005451595,0.022009056096243373,0.037421854180751835
2000-08-31,0.0017179271284832875,0.02578053207190867,0.023004083889572202,-0.010474105389792876,0.0027652703040748072,-0.004108036563431727,0.021816180687511233,0.016267739142834525,0.019178552590564557,-0.004585999197437851,0.0032255519438146862,-0.01110454610976186,0.035953547785689155,0.07349287046502395,0.09288965961464202,0.028484413895250027,-0.01604902653556084,0.05880162313035853
2000-09-30,0.007501686079954162,0.027991198088682,0.017364634945169488,-0.010831816207242384,-0.020177871416545146,-0.007445178031244448,0.03312835735644715,0.031411431767184306,-0.0059321368221004755,-0.0016381922683323946,-0.022160720078527985,-0.015658659791842444,0.06669418741527045,0.056856704701425675,0.07804907032230957,0.021947923834318095,-0.0030639142210959758,0.03280335650697852
2000-10-31,0.011509926019099836,0.01419110450374883,0.025816855395522254,-0.007765910013899591,-0.011960334210333379,-0.004607358766582914,0.009817473736491555,0.019070499386666606,0.02108929225098155,-0.017148033076894387,-0.0096663772623512,0.00212813549643065,0.03585004066203079,0.07444287649828785,0.09449500360828145,-0.008940030963163648,0.015281390472968948,0.04727639918077897
2000-11-30,0.0035749324621532352,5.720670920972282e-05,0.011249414275928515,0.005148384952030183,-0.004711041866304777,-0.0005975021137187841,0.005927471772084525,0.00864111975250692,-0.0010583147426149742,-0.007657671732340443,0.006629634739480306,0.001555309301540353,0.024347811708506306,0.06713976824940882,0.04842462118147628,0.017588623206838294,0.02202748079791106,0.050730092757566014
2000-12-31,0.023642860391363874,0.012029355267526354,-0.005575609140110127,-0.008251439445096542,-0.014990586800251449,-0.0033450951902311843,0.013691294464976966,0.011176178368008216,0.0023142185263829163,-0.01246222913519468,0.0027371870228067863,-0.018765891971227466,0.04169877708544889,0.06432975407942632,0.0633642738653517,0.007281234685894811,0.009463478194908781,0.03914616520489189
2001-01-31,0.010104675871954294,0.01158041149472755,-0.008394371913182486,-0.00434315399451346,0.0047764546349993164,0.007704987335020785,-0.016440070576089538,0.006427803083408179,0.01775752370838868,-0.016367301093380027,0.005749011263548098,0.01618678820018893,0.03004877582791754,0.061409689089908515,0.03926292482898042,0.0035744288173902294,0.020827670919432384,0.059378358959059074
2001-02-28,0.012639590968796854,0.004189820616920192,-0.009202836864710462,0.005305204074359304,0.001853419493527797,-0.0010653840711215556,-0.005824594038597364,0.0032424231279957194,0.005482617015938995,-0.016261340140309666,0.011351017690990117,0.01017553454213127,0.047161493954742895,0.03373047861575462,0.034902474967894115,0.021329504951501876,0.01987735712472949,0.048508474906576726
