,LowPERF,HighPERF,LowMGMT,HighMGMT,Small,Big
2002-05-31,-0.08554757015026093,-0.08660802226767939,-0.09259940434554292,-0.07785909188636309,-0.0754612839846337,-0.08013548915240376
2002-06-30,0.11234807831318427,0.13578181691724067,0.15128241681109933,0.12184825271009236,0.10337418352585104,0.16197460800352004
2002-07-31,-0.034870888845509374,-0.05153628604658278,-0.04170266958568425,-0.03318622406757399,-0.0277071596173577,-0.03797082594388412
2002-08-31,0.012935907100685151,0.005261340534226999,0.012603849625667518,0.012570249714435766,0.021084265664962798,0.006148773270597596
2002-09-30,-0.04002379748127338,-0.06836892548053486,-0.0462132490894579,-0.0425865994523833,-0.05423588824475567,-0.04748767129434095
2002-10-31,-0.05160832148848715,-0.0695355926544684,-0.047434100430928994,-0.04425229226372396,-0.0655255211755138,-0.04220004624579354
2002-11-30,-0.030408322666811594,-0.09451286433424566,-0.025583392428337293,-0.06141015925387605,-0.08773387547647327,-0.03090238679936519
2002-12-31,-0.017313044322622706,-0.06736415519245331,-0.05743235878678654,-0.045993135758091386,-0.04109601913228922,-0.04966361613893211
2003-01-31,0.08930820929281857,0.12555590457915544,0.11821037996010553,0.09290412496450728,0.1321683840087049,0.10034374118161238
2003-02-28,0.006797503911749381,0.011195215500924727,0.016794882071605732,0.010138768398202824,0.017653921433786746,0.004424294799792117
2003-03-31,0.02329503536080213,-0.027907167194126115,0.012257480360585715,-0.02910467978785325,-0.04304685369099526,0.021219471577570204
2003-04-30,0.06106821050493849,-0.04201450874726542,0.037857035823104734,-0.02755513040093549,-0.08929496062068165,0.04877003533079072
2003-05-31,0.03705164514451598,0.052482269851698016,0.03958941747874811,0.04918482977497107,0.02979240043930198,0.04112251254489063
2003-06-30,-0.0330019839457768,-0.07366327568235354,-0.06750164104998457,-0.07470364044891298,-0.06090237147925037,-0.050921666186246384
2003-07-31,0.01522495068707208,-0.042368722838772466,-0.0002830896669336891,-0.008117410623735832,-0.05403276460395612,0.01575104715724507
2003-08-31,-0.044501156221110616,-0.01644843439931809,-0.027015964817481808,-0.04325728770446513,-0.0031901561851952476,-0.04654652951143068
2003-09-30,-0.03167155047257508,-0.054003141602171345,-0.042116820059383775,-0.05142619915319324,-0.058606048647175224,-0.041025028702679434
2003-10-31,0.05229231107191068,-0.10814430635001715,0.02082508495213431,-0.033788586716605895,-0.10701325610454027,0.026770026207832975
2003-11-30,0.04451023672898402,0.029105481350541806,0.048133685512878,0.02625735870999213,0.01719670860395639,0.03746159134162741
2003-12-31,0.14762394401498602,-0.05324212235740011,0.02974670476906871,0.03826972305748555,-0.05838445572299289,0.12490595559239615
2004-01-31,0.02538074557091541,0.10500114433204222,0.05383651607453799,0.08587457747481664,0.11883105010264727,0.04115684126201424
2004-02-29,0.04785884090884962,0.1277793207394795,0.0655424090660941,0.062384172043997266,0.12549602593338727,0.036981078462172245
2004-03-31,0.07024965749767342,0.047872467361479654,0.02504230077782532,0.026692883646828758,0.05923956260320429,0.044462420916263845
2004-04-30,-0.07398960680737898,-0.16288926174519314,-0.0714261958037915,-0.09024320085456095,-0.121722433641821,-0.09135626012604103
2004-05-31,-0.031039520641124585,-0.0012637012321868868,-0.026349707777973186,-0.022396761039434332,0.009556777029290142,-0.025009687927713853
2004-06-30,-0.05496920758783341,-0.13298009775478958,-0.09832975184858184,-0.09992639207991316,-0.12902614653646205,-0.07807582481249664
2004-07-31,-0.007782516285836039,-0.022135912420137127,-0.01463082810883698,0.03024726670422484,-0.05220744725820914,-0.009770651102571026
2004-08-31,-0.016533979161710066,-0.031557146058485586,-0.03399815506360404,-0.016713895575641957,-0.04652175462144059,-0.01732734726141838
2004-09-30,0.06609658101349591,0.027470574084921484,0.04291256770225016,0.0717097906212949,0.03465853530630825,0.045509952115801555
2004-10-31,-0.049853571790163254,-0.127054006722348,-0.053248542065067905,-0.07442631588349802,-0.09019449079842101,-0.060938222376543116
2004-11-30,-0.008277786209209381,0.06951491274508403,0.026366793464899452,-0.004251807246462458,0.08687979277309932,-0.0025392499959919768
2004-12-31,-0.030549882720532162,-0.10682006719609716,-0.07143785799793045,-0.05054467295990561,-0.09187159105355902,-0.03849253783004303
2005-01-31,-0.04451002655803449,-0.04084342890048909,-0.08944474026429727,-0.03652559988741355,-0.04737135338013543,-0.0472348358866993
2005-02-28,0.09657128000670334,0.09484818783194648,0.09883618056832488,0.08248154184768874,0.11098062997302072,0.08701849078892088
2005-03-31,-0.05194682323283617,-0.13970054469405835,-0.110558774358673,-0.060783504445469205,-0.14488650313248352,-0.07200632070598678
2005-04-30,-0.008040481042159375,-0.07689244261465833,-0.024802900003027872,0.000713815403008633,-0.12981088733620516,-0.0011257880337138815
2005-05-31,-0.1339418697383341,-0.009166212507952243,-0.052815042481070384,-0.10763107314184994,0.0058275402850476166,-0.10667116372386398
2005-06-30,0.024513547590817364,-0.0416108653996593,0.007380926656221032,0.036958752220976,-0.0029708440798947855,0.03441590286336216
2005-07-31,0.060310022051671686,-0.09796770468755445,-0.03689609608260136,0.006445622852207844,-0.09064069187596957,0.05062402659005816
2005-08-31,0.058224400492961736,0.20328458592813714,0.11292084561294735,0.06497044925987927,0.19726419619361746,0.05011771775411744
2005-09-30,-0.018899879123532193,-0.013609720659429447,0.0064212969532835285,-0.011916185191656936,0.025169074340617437,-0.023219787320138074
2005-10-31,-0.0520701545614477,-0.06342354333771894,-0.031180422205154268,-0.06345350504983527,-0.07053358937472953,-0.053684896583043984
