,SmallGrowth,SmallNeutral,SmallValue,BigGrowth,BigNeutral,BigValue
1995-01-31,-0.15547681431391736,-0.13332548276170775,-0.14783821932306263,-0.12805772044132435,-0.14422268158170348,-0.11177223181642515
1995-02-28,-0.045599032891961544,-0.0400433979485989,0.0008538315560744358,-0.023067905934478383,-0.025490727078633868,-0.007811231389840634
1995-03-31,0.18572130202249615,0.14864506906639896,0.1613072400092317,0.2160749770209367,0.15836585986313634,0.07678516245925637
1995-04-30,-0.07504434185774023,-0.11820204565983783,-0.10670812250475259,-0.11034928947500011,-0.11530745697098554,-0.10759210012261655
1995-05-31,0.2352271285942109,0.20659801185930915,0.1642980520342816,0.21399650151144223,0.18042595208302914,0.09089447156704344
1995-06-30,-0.09549602426374981,-0.0819082744669426,-0.048384127540818556,-0.12127852165897601,-0.09760316363497656,-0.030647599760532773
1995-07-31,0.04705992129338754,0.055172052982190856,0.10706327135559701,0.04840259263868263,0.08029159642463202,0.12055860569503496
1995-08-31,-0.03663925523793887,0.02083050791532637,0.09984895721590226,-0.027554841240835626,0.09822251974165908,0.16531158566099946
1995-09-30,-0.06550546565631354,-0.006901382268023837,0.02793874002922303,-0.054892923823014916,0.029256998179959304,0.0586924030907956
1995-10-31,-0.009123652406969218,0.015402862943478368,0.047062721017058884,-0.031599904906537524,0.00051121715565694,0.037489458974006906
1995-11-30,-0.026002055451843753,-0.05358349731194123,-0.11359977335786575,-0.03200769616569521,-0.10421406320800752,-0.13188872824603115
1995-12-31,-0.13657630473268523,-0.09008226775317318,-0.11968257328280518,-0.12728507210227336,-0.10904679440951304,-0.11647093217794657
1996-01-31,-0.08218671668729527,-0.05032286545231934,0.0022556469847740956,-0.08530709323549868,-0.032316504340706986,0.016725861008492382
1996-02-29,0.051448825736410075,0.018549562764271332,-0.002873715903980223,0.051265349206604194,0.01620383793586222,0.02820094225413783
1996-03-31,0.006349068645822742,-0.008647986047574996,0.00787759223885498,-0.0026701921546827823,-0.002135330297189597,0.014902181225617817
1996-04-30,0.26096105386903723,0.34916382129772394,0.3012417117925894,0.23386558583768724,0.37069394883105344,0.26311457347883116
1996-05-31,-0.09031046483126248,-0.07297556542643235,-0.08303345107472615,-0.06988770089399643,-0.020198040743642065,0.06061837407880932
1996-06-30,0.0496708634711307,0.16299108577580834,0.15247114962739827,0.2842617415671618,0.3142826891130479,0.2389332484163078
1996-07-31,0.04945120774338441,0.1782125382565103,0.4346419659654417,0.025039626391896608,0.1328889643264548,0.14099598266779423
1996-08-31,-0.044196691713053404,-0.020994842577580664,0.004280430895502674,2.5727208659231948e-05,-0.024299264255936204,0.023527509909889055
1996-09-30,0.016109481245711876,0.03292628817164989,0.04822114289848867,0.0848653924627294,0.06499458002903702,0.03720060273956394
1996-10-31,0.20244244752544627,0.3216658369734895,0.46615133126093355,0.088677405611572,0.0994115055510667,0.3872242863885538
1996-11-30,0.06641306911615708,0.11926076255324869,0.15874107594091424,0.03779783049547758,0.05392360700104182,0.06440173105419933
1996-12-31,-0.20230069961529928,-0.20997981392873422,-0.2877763367459436,-0.14992594267447013,-0.12924114875996706,-0.20334852370052958
1997-01-31,0.11301908074390288,0.10736257102181401,0.1418826919203544,0.01719026303050697,0.09286525907077703,0.07994220215864822
1997-02-28,0.11697057352593943,0.08482443601542,0.05855551424821903,0.0784816836838349,0.07797250874043771,0.04258087784803766
1997-03-31,0.25153578697510137,0.21601484632054402,0.18714594012771402,0.17052813673658207,0.2491519540403313,0.12557759310714167
1997-04-30,0.10649587422436602,0.08513259093228287,0.0509996720183985,0.13087984899995941,0.2085946060499262,0.014904817783776059
1997-05-31,-0.1132507912330768,-0.1394716457945775,-0.10825292308516365,-0.054290730206413285,-0.06495688081182671,-0.08932077501246671
1997-06-30,0.004530030229232818,-0.02430096673510751,-0.025189134857523277,0.034879504332451905,0.0011313826958432305,-0.07478550468280543
1997-07-31,-0.039964577921142275,-0.04595844505423474,-0.0419831488543605,-0.09917224457137896,-0.06664914058810967,-0.03610388703260947
1997-08-31,0.009420869320136305,0.04592092062846631,0.09727715146981364,-0.052036275098431894,0.01663727643272983,0.10131989094191218
1997-09-30,-0.08682455704022629,-0.10831981887409392,-0.12935021711132733,-0.09600915827771472,-0.12807773288331048,-0.13270829662943417
1997-10-31,0.07501299740274603,0.09665554652996744,0.08593197910263228,0.1643209895716098,0.11736307950054203,0.06047452950427523
1997-11-30,-0.031698557848687914,-0.03640138510496305,-0.04549332866888689,-0.03839867223761284,-0.051303973758432764,-0.06494032616245105
1997-12-31,0.10086822923993588,0.057124771268202146,0.06877553146204418,0.005162448922452656,0.03419535065228785,-0.042573610100604786
1998-01-31,0.05148586214983819,0.03276620779976547,0.05313079774592322,0.0019327137364384406,0.023071538051132157,0.012526397138702183
1998-02-28,-0.0021100641991058655,0.03558797339754616,0.02679988005146705,-0.026922041073351277,-0.028566048028394908,0.0238087899802224
1998-03-31,0.03843649168453611,0.09510771606323765,0.05963462090833627,0.0016467839936138429,0.03133534499953283,0.021578542531330402
1998-04-30,0.10018729105258561,0.12544633673820527,0.14161920203604628,0.043566161858358265,0.05575802553916809,0.08458693760627134
1998-05-31,0.05971915557162655,0.1613011705180929,0.14675604905449768,0.006720433077863852,0.09057819591077498,0.06112960947503909
1998-06-30,-0.030740733045877433,-0.07267280230796302,-0.07669474187088243,-0.06982547439178766,-0.06262593323006749,-0.0751347234260531
1998-07-31,-0.011070004113389986,-0.0033062203871612184,0.0296929767053975,-0.03362312260800193,-0.012315193463763863,-0.013655314212314473
