,Small,Big,Robust,Weak,Conservative,Aggressive
2003-12-31,-0.058384455722992445,0.12490595559239659,0.08071057845098273,-0.06029689042559383,-0.011627895242185549,0.05460183460834367
2004-01-31,0.11883105010264727,0.04115684126201358,0.04137120520878668,0.09516438207131972,0.08674481709827009,0.10204261317066843
2004-02-29,0.12549602593338838,0.03698107846217202,0.052750147157617944,0.12227995195474683,0.0968291906631018,0.04487783835827219
2004-03-31,0.059239562603203844,0.044462420916263845,0.05380933164521928,0.04247577214223397,0.03698554420767963,0.027555324965291117
2004-04-30,-0.12172243364182067,-0.09135626012604214,-0.09734099587074385,-0.1379501877317708,-0.14087459023458826,-0.09834275741137688
2004-05-31,0.00955677702928992,-0.025009687927712854,-0.035024205533099484,-0.011405719555215965,0.010112881974251087,-0.03261689228989795
2004-06-30,-0.12902614653646216,-0.07807582481249731,-0.056727381974413627,-0.1385703385650081,-0.1286779340059342,-0.11290884142072843
2004-07-31,-0.052207447258208806,-0.009770651102571803,-0.010129501839653221,-0.03015555920610491,-0.03360437645589287,0.0003831905140265768
2004-08-31,-0.04652175462144048,-0.017327347261417936,-0.0072303851131313435,-0.06540150406898604,-0.048885264337364065,-0.03714057580030239
2004-09-30,0.03465853530630847,0.04550995211580067,0.07916696120009092,0.026715362417447652,0.04805509772559047,0.09124791956283596
2004-10-31,-0.09019449079842146,-0.06093822237654267,-0.058268674242136664,-0.11055424456668073,-0.06392081835757868,-0.020693000580829124
2004-11-30,0.0868797927731002,-0.002539249995992643,0.0018058216346168443,0.09214447866504605,0.049102682207013304,0.010599237308884568
2004-12-31,-0.09187159105355891,-0.03849253783004336,-0.027287690663920117,-0.13489121143909055,-0.10518021620087403,-0.050856909691981644
2005-01-31,-0.047371353380134984,-0.04723483588669897,-0.05349045182968726,-0.08111135151355264,-0.09211035283251767,-0.03870521287582818
2005-02-28,0.11098062997301983,0.08701849078892043,0.10036335097129467,0.1130976976566529,0.10059208169492218,0.10071815991731636
2005-03-31,-0.1448865031324834,-0.07200632070598667,-0.059722686283205095,-0.15650257360182473,-0.16026434776782006,-0.07527910540190197
2005-04-30,-0.12981088733620538,-0.0011257880337135484,-0.01152653146521676,-0.11778517825422952,-0.06132133432644893,-0.011410100861850125
2005-05-31,0.0058275402850473945,-0.10667116372386376,-0.13456685215784336,-0.010224259860360685,-0.031883668850447355,-0.12533293212774277
2005-06-30,-0.0029708440798944524,0.03441590286336216,0.025465977445853438,-0.033137904884205094,0.004188110590061633,0.01818496138180503
2005-07-31,-0.09064069187596957,0.050624026590057936,0.06660061047497812,-0.08542874594231542,-0.06818957811504311,-0.008623321744509749
2005-08-31,0.19726419619361768,0.050117717754116775,0.05539538784930431,0.16067939537991038,0.15469158567978591,0.06675438873587436
2005-09-30,0.02516907434061766,-0.023219787320138408,-0.003195632243767066,-0.009573931590993734,-0.006079078309105257,0.011365970697839956
2005-10-31,-0.07053358937472953,-0.053684896583044095,-0.05267814562546902,-0.06700282072034469,-0.06894893571064298,-0.058616713972032275
2005-11-30,0.05824696983825284,0.009147440492692116,-0.013256668201583,0.03911387997089366,0.01714166579866183,-0.0141376208462346
2005-12-31,-0.011236824087130781,0.08103693628927955,0.06288770010175981,0.00622079736784098,0.017149562270825314,0.062241461870182535
2006-01-31,0.025331668655239614,0.07232263748284873,0.08008511078495517,0.051520389757695906,0.07065165599325618,0.10132039554451477
2006-02-28,0.05375605031606656,0.05533418426937198,0.06411884160833381,0.09813034818010569,0.07331796850850347,0.038208959683171395
2006-03-31,0.0006919038994170901,-0.0019151617229624662,0.018831978842412278,-0.027615373858626446,-0.013417384259063025,0.01867968720968416
2006-04-30,-0.023950495246906844,0.11753113103345636,0.1306029663492505,0.04003608647971579,0.02008203673746345,0.1083835520312455
2006-05-31,0.30634849857148483,0.10591241475662061,0.08903568813578566,0.24154509864222629,0.27276655698862373,0.17692455632840676
2006-06-30,0.07468095771273031,0.014388675094295866,0.05139776994923628,0.026019885593359104,0.022953037434871648,0.023385498349649758
2006-07-31,-0.015553581417197315,-0.08006770557370768,-0.06759495536378912,-0.03689770227210931,-0.0694864304020113,-0.07281595549980036
2006-08-31,0.04010860017765716,0.04228431714378966,0.031888338516307346,0.03762913887412345,0.061133403697345434,0.041939104695239315
2006-09-30,0.06049903654895794,0.05032380059509611,0.0389096187165503,0.08558098206334752,0.05443017412392348,0.036481076465860074
2006-10-31,-0.004314320307140296,0.05041368888160824,0.03791332444426687,-0.010651718372202246,-0.020056738524179774,0.027732164525323455
2006-11-30,-0.009032960834738923,0.20431684461297572,0.22471672079074656,0.02600782332700491,0.032281624101879514,0.1922007514167985
2006-12-31,0.017867591642403813,0.183507452023274,0.15811676541948305,0.025181177621868667,0.060345438083307945,0.17425945197670822
2007-01-31,0.24218885141846824,0.14566383510991088,0.16391662051241096,0.20816925344774928,0.24280056245327586,0.18031664666861857
2007-02-28,0.2372778960741453,0.02300086842325877,-0.0018008038086380074,0.27168250497984725,0.21646695765023827,0.07412076216302554
2007-03-31,0.25973222303808696,0.08310496429907022,0.08332393013141659,0.1934098697072446,0.1578115158274731,0.1253457381480585
2007-04-30,0.3265515323323238,0.22480350673380678,0.226377530208417,0.31690924907168183,0.3494651685228032,0.3053440736713213
2007-05-31,0.08436361459784081,0.14640732934275502,0.18118191435243647,0.13106236463028242,0.0376492016640797,0.14785505471894278
2007-06-30,-0.2248064281937856,-0.04354416494771807,-0.03271995405487527,-0.24808150173886345,-0.1806422143919213,-0.051628301072190186
