,Small,Big,Growth,Value,Winner,Loser
1995-01-31,-0.1275748834839648,-0.1290205896853622,-0.1465340523368602,-0.0866456543254027,0.0,0.0
1995-02-28,-0.0128692612199322,-0.0248393586443139,-0.040353533725268,-0.0036168041396502,-0.024458697804240037,-0.007431935540059276
1995-03-31,0.146748260780952,0.1792009319779945,0.286616296955422,0.0643482836231734,0.2832792099632666,0.058151827740004824
1995-04-30,-0.1091505885144997,-0.0993657727439316,-0.0988904054287119,-0.0460645340891968,-0.10733968597200172,-0.0628854795640369
1995-05-31,0.2312049057257088,0.1763160045686402,0.2182698238561844,0.1051062727578149,0.19128514428635013,0.12464569497595113
1995-06-30,-0.0296075974302536,-0.0937955263991566,-0.1198849549732392,-0.0342823906562249,-0.11852832906263944,-0.059064055117597936
1995-07-31,0.0766669799161487,0.072628254894274,0.0523944281503208,0.1420132262645597,0.05878653017148583,0.05867152579524548
1995-08-31,0.0198536637109802,0.0478538194007527,-0.0520339597908721,0.079319516332891,-0.03780416097492045,0.10970718872203356
1995-09-30,-0.0092815095516377,0.0066456005413997,-0.0475446073302339,0.0172263220107846,-0.06043042170329327,0.017323875090351493
1995-10-31,0.0092924593038501,-0.00398608292988,-0.0315121467175943,-0.0049347509750879,0.05000991157903445,-0.00025781558059434495
1995-11-30,-0.0549863767052378,-0.1003442032158331,-0.0761203779081663,-0.0464057149950184,-0.17270161944631102,-0.0531204164928859
1995-12-31,-0.1068046393107199,-0.117036004259422,-0.1189654376492039,-0.0898765038986203,-0.10930588661361718,-0.1067615095662674
1996-01-31,-0.0319708953134862,-0.0326955788782968,-0.0790858604132959,-0.0280338027802431,0.026116803278215084,-0.06568789579383794
1996-02-29,0.0170431275803082,0.0280581862117768,0.0339561119156788,0.0282041996747763,-0.0034213082630148994,0.05931884109819108
1996-03-31,-0.012212751143396,0.0058146166061203,0.00075783324995,-0.0114194054049588,0.01656989831624367,-0.0025023136181204775
1996-04-30,0.4306480683222318,0.2426926642356319,0.2254448064612693,0.4549999363147925,0.22057103450335336,0.3549702054978745
1996-05-31,-0.0722292196063645,0.0149725225262022,-0.079687942900525,0.0378982718255489,0.021483198451847763,-0.07891585690773728
1996-06-30,0.1142226167004947,0.365502348102122,0.2536579364156566,0.1494036956430393,0.3218031832680255,0.23141246232464985
1996-07-31,0.2575181745190482,0.0365787569921325,0.0401933350616008,0.4346057462322403,0.10536857891869778,0.020891493865161648
1996-08-31,-0.0681068095792448,-0.0037739600782348,0.0112150723817181,0.0464212178785075,0.04051613214794414,-0.07556598911626689
1996-09-30,0.0443938674356421,0.0794563607741314,0.0672954577326661,0.0703579440807145,0.06267947265421414,0.051897100690844855
1996-10-31,0.3699599568718186,0.1715360166909456,0.0512242564462628,0.3409043376492107,0.09870840165177519,0.13563291603113892
1996-11-30,0.0976024228642959,0.0264843565529353,0.0423538905798943,0.0670126314982784,0.07222696836446962,0.09513426240903922
1996-12-31,-0.1785520911315636,-0.1481881253849269,-0.1357465001169836,-0.1642994587795156,-0.155380143900269,-0.15784664315503694
1997-01-31,0.0952026424891114,0.0514849827942449,0.0590595408141814,0.0818816227333685,0.11259854643701739,0.03328698101049721
1997-02-28,0.1574647692735404,0.0452600362106947,0.0402247388954706,0.1392371219350197,0.03636181998873789,0.10939063118024506
1997-03-31,0.2559700961404463,0.1754001250687693,0.2232811292300236,0.11463140433646,0.2504218473303723,0.18090647261574322
1997-04-30,0.0981695619303806,0.1400159553588886,0.2535243124733946,0.0244827735995518,0.24924753743382544,0.08157674601292686
1997-05-31,-0.086135009673377,-0.0371040515156655,-0.0166963490553853,-0.0630712935055819,0.001703782116585062,-0.12204002351055088
1997-06-30,-0.0386763310241523,-0.0010054413059895,0.0593001354936217,-0.1137737687329274,0.08341666293762517,-0.03137131726491005
1997-07-31,0.0028297316622034,-0.0897389196364014,-0.1116606014631999,0.0072766226341767,-0.11393179847183788,-0.02126995801399245
1997-08-31,0.091611015549696,-0.009064907433645,-0.0970587627383623,0.1454417949769921,-0.09229713949019214,0.15232953769990099
1997-09-30,-0.0640507598488221,-0.0987870634103404,-0.0832395494537308,-0.1182178569086338,-0.09719472841737886,-0.08742056543112176
1997-10-31,0.1020960064832148,0.1243073761292659,0.1579652094228092,0.0542149269728275,0.14035793702701027,0.15815580114426386
1997-11-30,0.0024986035129757,-0.0395430536673375,-0.0458465300523889,-0.0579941572659791,-0.02828756055940851,-0.0857207011151504
1997-12-31,0.0953901335582649,0.0039070251101118,0.0639249899635028,-0.0088441708357345,0.05674537860801876,-0.02105845918497684
1998-01-31,0.0739442533486196,0.0094835004220446,0.0424459330621915,0.0045858665946705,0.025644536542402507,0.016190178978897185
1998-02-28,0.0354785314072858,-0.0417254976868533,-0.0645920879008726,0.0356794185401836,-0.07037288544140086,0.014734775546630274
1998-03-31,0.1093046750591724,0.0145064981506446,0.0297182367213564,0.0190155050753582,0.030817913217797033,0.02552206520053457
1998-04-30,0.1468790526550685,0.0428674412525822,0.0870503936091382,0.0659465739214371,0.0729166544242994,0.054751258214534415
1998-05-31,0.1641025104465441,0.0086447994846292,-0.0111569467542004,0.0611053446230753,0.03507235453445179,0.08703736302240594
1998-06-30,-0.0611299860217935,-0.0859622954670457,-0.0769170054797793,-0.0852071700045602,-0.05109425624925312,-0.06770995226476806
1998-07-31,0.0414347303942295,-0.0225327914117613,-0.0216956948279863,0.0123844277706997,0.004943133416119849,-0.0384274942760493
1998-08-31,-0.0846210437824476,-0.1481227929699163,-0.0907018576328543,-0.160773041021176,-0.08714625649756269,-0.15588964008495843
