,SmallLowPERF,SmallMiddlePERF,SmallHighPERF,BigLowPERF,BigMiddlePERF,BigHighPERF,SmallLowMGMT,SmallMiddleMGMT,SmallHighMGMT,BigLowMGMT,BigMiddleMGMT,BigHighMGMT
2002-05-31,-0.0999180182477144,-0.08427365636485606,-0.0826230455069712,-0.08544665261745354,-0.0845601304838699,-0.08802787174709215,-0.09733779841306711,-0.08558549649239744,-0.07787509962590522,-0.09100370675561464,-0.08394985862029491,-0.0816534516208689
2002-06-30,0.10161635633488642,0.11060295038552681,0.11921950286605476,0.1202332999213378,0.14974468413794217,0.16978735365620246,0.11780225085057472,0.11086211514887867,0.10951920991224529,0.15996393505309903,0.13738138547078194,0.13491650334172545
2002-07-31,-0.017301013962588763,-0.03181475453033766,-0.0446629247385093,-0.034549547330964936,-0.04252339257546345,-0.046768451439783476,-0.033593322919289625,-0.034354174638992596,-0.030171057242035948,-0.043590364065688614,-0.0383945786709029,-0.04011939441805745
2002-08-31,0.020773878724810624,0.010846912903660577,0.00910246937132908,0.010546775422931809,0.005387254175892142,-0.0019058568508277807,0.021427294260710106,0.007362711286343471,0.014945179822675625,0.01088119223177153,0.004659017389573972,0.006880780362700456
2002-09-30,-0.04097287552835527,-0.05307694320146594,-0.06993970673038319,-0.043400045285983735,-0.05277504268427757,-0.0676053786539016,-0.05619849790356257,-0.05721333477694901,-0.054516173582185745,-0.04961702282473779,-0.05275281720474978,-0.04144700864824202
2002-10-31,-0.044713259126447635,-0.059690307613514015,-0.07184550714759208,-0.041227843807943865,-0.04894473829483703,-0.05094721783287326,-0.059580366407867014,-0.06367211325254252,-0.0568852038312857,-0.04886224753961099,-0.04475580569521764,-0.04383823950258181
2002-11-30,-0.08449050904172406,-0.08400205629609914,-0.09391416231820593,-0.027812739011763066,-0.06138297657795644,-0.06516771948127476,-0.09138153437819174,-0.08476461840729743,-0.08844078962837698,-0.03404402257662631,-0.05697812109236977,-0.04348439652922409
2002-12-31,-0.03275517505656034,-0.05588464215280653,-0.05196117545753498,-0.03985113371501914,-0.053585941411403604,-0.0846121529693925,-0.049842519154054354,-0.050393091948012,-0.06052524967774431,-0.05443510986939237,-0.05004185699870867,-0.04264233606388024
2003-01-31,0.08796185157014835,0.10419784073681027,0.1278387450131504,0.08876130382661529,0.08978213607046426,0.12396158388185197,0.10093249329892529,0.11308668395684007,0.10370775509409369,0.10542669586459574,0.08628797335567917,0.08073304907612844
2003-02-28,0.018718276810488987,0.016261029894856893,0.023114227400186316,0.007755754523823377,0.007135858379210269,0.00433358915880766,0.01629857326344286,0.01789541321146948,0.021076263365259917,0.013687547245644582,0.002751398391610982,0.00807146677880799
2003-03-31,-0.02996576131311479,-0.03107787518467109,-0.04531296166061871,0.021599393598347616,-0.014642253681089734,-0.0008747415518515211,-0.02716201642680538,-0.03780407886890047,-0.029775827767249297,0.009593404946585116,0.003841722921213986,-0.020126315917258997
2003-04-30,-0.03954371319567895,-0.053194192872016544,-0.09296514016852075,0.04811158003787375,-0.010741032206325496,0.013265644339630622,-0.04953817657695314,-0.056493940801207176,-0.0888976978620244,0.042101423549323114,0.008493976876667197,-0.003437965237553575
2003-05-31,0.01648352541229614,0.031773808730458875,0.04357654410235301,0.04123884901659891,0.05003304222672411,0.02904989584753137,0.041561460910602976,0.031311598787564066,0.033782567461865254,0.04676140219878144,0.041026692507617035,0.04786497984998417
2003-06-30,-0.06130779648867202,-0.06884111902754186,-0.07544027900790284,-0.04107516353239127,-0.0752416644593783,-0.08712578396322546,-0.07194292374471267,-0.06906567689625986,-0.07106085056769262,-0.06690336834330968,-0.04916505485575817,-0.0768391606577623
2003-07-31,-0.023366368630832524,-0.04239316425249551,-0.0472567252270798,0.014109056572421563,-0.009809985170142088,-0.027720978344883074,-0.0492668209965893,-0.04135203789602415,-0.03676487132038886,-0.00920741328403507,0.006460913674331881,-0.0016622256406343405
2003-08-31,-0.039312971552102005,-0.01401607424350959,-0.018262374926184655,-0.0420357290902752,-0.03906211494199807,-0.013905773541516453,-0.022394934835692992,-0.014460285441322607,-0.022790391546472222,-0.03716931537656387,-0.0376853055897205,-0.044585058987856474
2003-09-30,-0.04265439498173895,-0.04831753217771784,-0.05071794088082593,-0.04161757848945502,-0.04414302250553204,-0.04669661578798723,-0.048033071349587675,-0.048227811591560865,-0.05051346522908384,-0.041894564558277225,-0.04180945796723945,-0.048864016218801876
2003-10-31,-0.060695352186446616,-0.07240974001444422,-0.10510317150117199,0.03401674807342148,-0.048861220491100976,-0.04198309732473904,-0.08201415731090655,-0.08047222538123355,-0.08038421710809074,0.01408616764471149,-0.010484048708320537,-0.01916563325969456
2003-11-30,0.0015488696469037055,0.02894858203274131,0.027631083429346504,0.04047995385846703,0.022566472273750415,0.01493870685996157,0.02105262941832753,0.024178420220005492,0.039732154943071585,0.04756880360844318,0.02794460728819037,0.01500903721716318
2003-12-31,0.029482126109111162,-0.0264172242402807,-0.05590748558309522,0.12372684159677139,0.02663390544934363,0.03618945548081154,-0.019740959838085992,-0.031764551446689215,-0.037625597727618976,0.12008573765181185,0.0640973346318019,0.05223491443930106
2004-01-31,0.1149623818272476,0.1035240270144584,0.1078139105344651,0.04637535021021666,0.0586028477845022,0.09332207112913782,0.09870328113545734,0.10804597391136972,0.10326547466170743,0.05073392171871416,0.04383560634359407,0.08734229067926536
