,Profit,Unprofit,Growth,Value,Up,Down
1999-12-31,0.12482215652774253,0.031915978889967,0.15518324178033183,0.0015755337222509436,0.12593955629967635,0.022505762706455767
2000-01-31,0.15928123195234134,-0.004814899983045073,0.21012858567512982,-0.04556735941359302,0.21980871574228567,0.01438473389235484
2000-02-29,0.07759132028899618,0.08151674927954478,0.13373835749731455,0.03722841935930843,0.10868405004215509,0.09543385557614958
2000-03-31,0.07944232803710038,0.10026509379036797,0.0317015217003529,0.06202976586800002,0.04661257818282705,0.10388487398750823
2000-04-30,0.10727178784114244,0.1339111972461262,0.04080743685905208,0.04694886741771809,0.01868999624598322,0.042854970054972075
2000-05-31,0.07408915267994542,0.035801954859387086,0.04863188798344864,0.02645370915036005,0.03040443240483981,0.04937047872253575
2000-06-30,0.08072717773510196,0.03263679544236031,0.05077750841679429,0.01215410581511378,-0.01320614925229191,0.07815383824590749
2000-07-31,0.044376853510812886,0.04530088071285343,0.04434825089403138,0.038874624566138216,-0.0024964753263784223,0.041378622850049895
2000-08-31,0.07387669122423968,0.09376268735498883,0.06799907376478131,-0.01694686073345375,0.04985516769582232,0.06806167742106362
2000-09-30,0.04455596309695542,0.06477360705437518,0.0726929092736519,-0.019738216985326962,0.03353458564740541,0.04582032321542906
2000-10-31,0.02739327367667377,0.0749043769579929,0.014637234759588669,-0.0043918075920599264,-0.03220136670253426,0.06944189040258664
2000-11-30,0.05152855965627845,0.05554785549644392,0.021317141280025043,0.010569886116764904,-0.005721912664168438,0.08894478003759665
2000-12-31,0.040914174631200284,0.03762119738948244,0.028817318935653535,0.0009193515861103396,-0.01492802628950507,0.046073661245911834
2001-01-31,0.03662004534786467,0.050066007806275126,0.0015038191664307199,0.032081535149730556,-0.013700526731966534,0.07314173150982661
2001-02-28,0.05094550752813243,0.025286862919624342,0.03650641598822313,0.009987910150635493,0.03907713940096391,0.06389497729714666
2001-03-31,0.025932050713748156,0.020551634565079357,0.02190468113896893,0.0031072975010357773,0.020384133983536,0.04634939274882188
2001-04-30,0.034482324810830134,0.02962643387145425,0.059368057132462626,-0.011503076674707624,0.038373528278697,0.05043285077098991
2001-05-31,0.010988611178548435,0.04756648944784314,0.05552944457473363,-0.00802618328082716,0.03402162979180745,0.02911646983315541
2001-06-30,0.014470791864010346,0.024950810739486684,0.0010624392589133613,0.016812247140292946,0.011970999206290855,0.0359456510586047
2001-07-31,0.020084308512662963,0.05264851294835737,0.06819566823725443,0.006682261072588291,0.07569779469940752,0.024041779895646043
2001-08-31,0.03423234261823249,0.04139392533627162,0.056335370799153406,-0.0039036521215688458,0.056307262620487464,0.02982449656436237
2001-09-30,0.01843393451939357,9.10474481203849e-05,0.033438114240236017,0.049158842811409365,0.03730656575355451,0.07013208859077502
2001-10-31,0.013091293497222933,0.03898968150080484,0.029544952597920116,0.03800284514321195,0.04543705868340231,0.04824197564796706
2001-11-30,-0.017309265717778355,0.03294223092150239,-0.015595590922849456,0.03622177371418078,-0.00516404906972745,0.04076856725231526
2001-12-31,0.048440328497494356,-0.0021682314846840356,0.030853628961131196,0.023199643739371112,0.02546013475258091,0.01445914820496541
2002-01-31,0.039374986431206294,0.0011975916559823219,0.024538083310808645,0.018207427778666352,0.028810011670131308,0.037038495505384184
2002-02-28,-0.0001809048483071285,0.042581969137327036,-0.024005479419280773,0.02768992683588234,-0.023329923507718675,0.08418586625877511
2002-03-31,-0.005839992948741712,0.04431444840642906,-0.013826423190999249,0.022677865096850658,-0.016801555568472848,0.12402309707864845
2002-04-30,-0.016858577588421908,0.039512314372834645,0.0001371324077081848,0.023213323977511857,-0.01159974747482062,0.06316936625501968
2002-05-31,0.06387227401079776,0.027479844508605078,0.04887275355221066,0.013698910231915606,0.02894473791239771,0.0760354007810542
2002-06-30,0.015765702073130328,-0.012184742715216634,-0.03996548314007775,0.04038361481122221,-0.04706697867116416,0.0312774812035872
2002-07-31,0.05589475567414426,0.020286802369466228,0.033866289210338074,0.007679789940479909,0.024018454986018956,0.05074682435949218
2002-08-31,0.0513843836232748,0.01905177523630419,0.006894403987233622,0.013683313955930476,0.005230537097302701,0.05510405366082005
2002-09-30,0.015851813657239644,0.025123979507809757,0.03164406886116433,0.004019512162424466,0.010508687914424275,0.025462627916165825
2002-10-31,0.01758561840866224,0.03031321346680871,0.02047672447140214,0.01131996230886334,0.01493052363036207,0.04756634937157278
2002-11-30,0.023144273628105783,0.047784198006401324,0.003529086886888244,0.021355601488597387,0.01897315498723451,0.025973426662460053
2002-12-31,0.023813619708944245,0.050351078088602286,0.01222147535017637,-9.446292710924009e-05,0.02767001010891157,0.04690571454379766
2003-01-31,-0.019795163244529124,0.04949441898202167,-0.0405601934584946,0.026741658892362574,-0.02761373733593453,0.06413607687557876
2003-02-28,0.005219209003936465,0.05516504837826863,0.014285752363296433,0.014326235493458572,0.007867571248880711,0.026223176995650688
2003-03-31,0.012197184176219844,0.0501944474695859,0.013841887081651683,0.014836142329331947,0.012694275229037766,-0.015351610138515936
2003-04-30,0.03777214736118828,0.022092325852249184,-0.010441490407384402,0.031767868593672643,0.020962563250622512,-0.02757358694098766
2003-05-31,0.005836124007390309,0.03308862676780211,-0.003133888948921748,0.03403787422434368,0.0002771711410740618,0.02966516077402348
2003-06-30,0.00782805351421434,0.028245280925799587,0.004451670646347772,0.018165342581326183,0.025394216511098966,0.01710288030373297
2003-07-31,0.010846429263569046,0.02763896013526801,0.007873522853999226,0.016765982338808216,0.06628465632943037,-0.010700564345847097
