,LowOver,HighOver,LowUnder,HighUnder,Small,Big
2000-01-31,0.29507672500837345,0.07733169710251264,0.11051366293888232,0.1759522760130381,0.11242448188019116,0.12834281041173634
2000-02-29,0.11780965264647714,0.09992802570656911,0.12306104387012229,0.14898598876532576,0.16842807498052115,0.11386659429540336
2000-03-31,-0.039330800799546095,0.10948120745055889,0.05835984237542924,0.022898374329891835,0.17273185198684438,0.008871915015199683
2000-04-30,-0.032801923449399695,0.0582494674626266,0.04375775885056332,0.01705077471977723,0.012716752328232994,0.03441054705014923
2000-05-31,0.016388136681795062,0.01333061375138489,0.03239757667411847,0.010248976233203866,0.07658458628278986,0.003005370482833225
2000-06-30,0.004748769023660282,0.054172652682020095,0.029084849130750046,0.007540095957473847,0.009956852385522685,0.028297233340667693
2000-07-31,0.05480197205969639,0.04327990362732792,0.07817481438672691,0.01883152004282862,0.06771173271237507,0.04751403896121187
2000-08-31,-0.015991395560478683,0.00014643927240931554,-0.013192845132899311,0.004422952644779876,0.05015924639286928,-0.028464874839262966
2000-09-30,-0.03190066997119689,-0.0646848269892214,-0.05785304859043561,-0.025407497846198224,-0.0010842920195144323,-0.06230350952051711
2000-10-31,0.030667829199755525,0.022599241018243177,0.025031582112510886,0.01203539874466153,0.06945487662189986,0.007400961594563826
2000-11-30,0.02732314981330619,0.06869101311984327,0.05723899264504562,0.0533179387101439,0.07746991401571046,0.05514158145070547
2000-12-31,-0.0005281414613603763,-0.009697408041451805,0.007643465936744809,-0.018514905993465613,0.004972409911865094,-0.033749044300073416
2001-01-31,-0.05604935746405926,0.032759252480409895,-0.015061414190309597,-0.015061369033821936,-0.02441580339105842,-0.00828509558995627
2001-02-28,-0.058477993011909146,-0.058920451112771555,-0.06417026650351021,-0.05919657146004709,-0.08202867222949273,-0.051992587006003066
2001-03-31,0.06666619863712198,0.06527027052910417,0.05815354719725829,0.055223568043520466,0.1115220650365989,0.05850513573857041
2001-04-30,0.016521977112023523,-0.017186977064507336,-0.012642221554370559,-0.0040255388268944925,0.03432676324989914,-0.019713901578912507
2001-05-31,0.06862505672618036,0.007634535438361567,0.02754043940015638,0.027922370610097946,0.10596712514353568,0.008959186171604294
2001-06-30,-0.05070067438265857,0.028053999553682374,-0.018752857706542447,0.023316820678209504,0.008582121988226499,-0.0032036203601445434
2001-07-31,-0.16851204734614267,-0.14109563592278396,-0.12729962257287064,-0.12370331175424099,-0.13505359450558785,-0.13190285573858596
2001-08-31,-0.032356643971947596,-0.04018221168081815,-0.049651730369083324,-0.024961171454042752,-0.0040542951478919065,-0.04808837651923936
2001-09-30,-0.07304567247481597,-0.030185233235501263,-0.07286771231838196,-0.03718005479552444,-0.07303619963468622,-0.030314869655257537
2001-10-31,-0.04236150356489532,-0.03380885215714302,-0.027142119252928087,-0.04905633699725975,-0.06790470335795706,-0.022849953835020087
2001-11-30,0.017002278078733113,0.0671878615266226,0.024787563753770225,0.027882413899142477,0.07668035045277155,0.026337555608500596
2001-12-31,-0.09987944428858464,-0.039178444075150254,-0.10759975628468821,-0.007335073494064925,-0.07707702648170378,-0.05472296199536175
2002-01-31,-0.11244287714513679,-0.12263377268283138,-0.14572404256000515,-0.08455482675070292,-0.15091556216193713,-0.06768427222468265
2002-02-28,0.020409231654472615,0.024377273962320034,0.04654938720137691,0.020394079807924737,0.05049120080860736,0.010759051947879295
2002-03-31,0.0899724260603516,0.05104473449131053,0.08503483524167788,0.06164866141303693,0.10090805214386545,0.04161396539827189
2002-04-30,0.038866855261843414,0.03926933849073455,0.02807041575056357,0.04172381009545445,0.0740566045448825,0.041122769281107585
2002-05-31,-0.08294006677970356,-0.08616392120988015,-0.09619964848983642,-0.07904792932580096,-0.07546128398463381,-0.08013548915240354
2002-06-30,0.10128868510213018,0.1653541380224055,0.13793879713771662,0.14455719321184834,0.10337418352585193,0.16197460800352004
2002-07-31,-0.049485368372555905,-0.021115990977784382,-0.05363694502291316,-0.033083295169428095,-0.027707159617357924,-0.037970825943883124
2002-08-31,0.008359371304486052,0.013856211222083692,-0.0024328840044449684,0.011114608265241577,0.021084265664963242,0.006148773270597818
2002-09-30,-0.04511162242399758,-0.05380510622380852,-0.06398697778138063,-0.04322252965113482,-0.05423588824475578,-0.047487671294340394
2002-10-31,-0.03562572832533639,-0.047555459293487035,-0.06650036832637463,-0.04526614810994467,-0.06552552117551358,-0.04220004624579354
2002-11-30,-0.07032558388602173,-0.06438312449747718,-0.09545039607425365,-0.030858907527829604,-0.08773387547647338,-0.030902386799365078
2002-12-31,-0.061085942393787396,-0.06661640506669131,-0.06097981054963009,-0.024803179607584047,-0.04109601913228911,-0.04966361613893222
2003-01-31,0.028647173978946228,0.13873576907286322,0.12661682352624282,0.06655998837191546,0.13216838400870579,0.1003437411816126
2003-02-28,-0.00210482063681805,0.011090114045731125,0.00770447554123832,0.004136397533077041,0.01765392143378719,0.004424294799791895
2003-03-31,-0.01966921551068912,0.008673541470403556,-0.03757512035130384,0.024894951308151114,-0.04304685369099526,0.021219471577570426
2003-04-30,0.05774778001352043,-0.03766769705127382,-0.09349830095223854,0.03120047182527874,-0.08929496062068087,0.04877003533079005
2003-05-31,0.03634340133449365,0.05077277807429614,0.06489556805768792,0.02764124296351711,0.02979240043930198,0.04112251254489108
2003-06-30,-0.0916880292035136,-0.044206848876863325,-0.0887076041802981,-0.051937932890380734,-0.06090237147924926,-0.05092166618624627
2003-07-31,0.0019987904854348315,-0.022298817481188116,-0.035132513549864464,0.017596460375735257,-0.05403276460395512,0.015751047157245956
