,SmallRobustCon,SmallRobustNeu,SmallRobustAgg,SmallNeuCon,SmallNeuNeu,SmallNeuAgg,SmallWeakCon,SmallWeakNeu,SmallWeakAgg,BigRobustCon,BigRobustNeu,BigRobustAgg,BigNeuCon,BigNeuNeu,BigNeuAgg,BigWeakCon,BigWeakNeu,BigWeakAgg
2003-10-31,-0.06278996321965458,-0.0497009772859085,-0.04801677821435546,-0.08252726833865531,-0.07353232705793844,-0.07730985826914416,-0.09753954275842558,-0.10709993571663579,-0.0990732953407144,0.004258603189619237,0.04647251001784691,0.01199558086092778,-0.06272387494067999,-0.034474802649373304,-0.06278549267668787,-0.06984596770008988,-0.07075992476297666,-0.09697499728058401
2003-11-30,0.0174262228035047,0.013994282110991518,0.01019775433915604,0.020142990040412645,0.025409931833581645,0.017467638238930494,0.02123376551586098,0.02793123334402603,0.00926128256361336,0.004197823789507948,0.056897803346607656,0.015170450672945535,0.036368342554993216,0.036202059624013794,0.02292095141086503,0.032804777884595016,0.058141965009902874,-0.02470678400191184
2003-12-31,-0.01223968152571997,-0.013724288871223345,0.04471117230857091,-0.02369172788733309,-0.02163149383448726,-0.03628235622997078,-0.05198079443095305,-0.04102655170778524,-0.05275891990386594,0.08808994970482598,0.14122890647878794,0.08221979271522462,0.06913908524712009,-0.010591109375985064,0.03206683146336675,-0.03702006725486251,-0.03436973608731797,-0.05549317086008987
2004-01-31,0.09259847810457145,0.09295037885554591,0.08297911000603753,0.08366196799856684,0.09333463981832257,0.10822488321671209,0.09903297414315237,0.09279146911042879,0.11940841281421144,0.03776882598217424,0.0381382306645055,0.06248363549881519,0.040636281314194056,0.07613153838900422,0.09010213665609945,0.08961193241176013,0.08995861489864643,0.08603076863060433
2004-02-29,0.1068888685880851,0.07802533699699166,0.07864117424830508,0.07334513102255014,0.10359910402301797,0.08878296812205044,0.12192815495377629,0.11450213742693194,0.11938505983967129,0.05467059305044253,0.051014090667876655,0.02143489404915644,0.05494171449463581,0.08597090702231336,0.08257919567745486,0.11926251817486366,0.09726992793443245,0.10895634162845336
2004-03-31,0.03994973392169743,0.032541173173116444,0.0465549160395593,0.05026749373849593,0.056324350728201855,0.06857881365878904,0.034446930858082814,0.05064723968030993,0.07824752988713657,0.09033819040743296,0.05318615363861845,0.023588802935865294,0.011888297918027257,0.03474499993561997,0.03606243923299868,0.03329656929068947,0.01575458014447806,0.024676463910323188
2004-04-30,-0.0938516891484118,-0.08148121921763263,-0.08265365375194034,-0.10757676966744611,-0.09197464282281909,-0.09012076220207976,-0.13983768516710826,-0.10970925386198571,-0.11275729310277771,-0.061372345727086164,-0.07503958870962624,-0.10884435196700826,-0.10530307073295431,-0.09474635316630098,-0.10021305497955502,-0.12358121008115963,-0.14319619655712468,-0.15085385894310388
2004-05-31,0.005082607003250805,-0.026022003227753054,-0.03169359408561889,-0.006913413403607405,-0.0027141173249551898,-0.02121011218658775,0.004056586267243922,0.0011936805169749931,-0.0198364520935711,-0.03847802155289759,-0.02532771945765433,-0.027522917332396646,-0.011815160138182734,-0.011583195209792674,-0.027061110959166745,-0.0070434036063454775,-0.0046967370652751805,-0.026483047273681004
2004-06-30,-0.12625335377297353,-0.1045721814481333,-0.09654982022944203,-0.1230207915461885,-0.13342600555616713,-0.12747690018138036,-0.14292367108193793,-0.13745890981289632,-0.1326732791876618,-0.05174585379853347,-0.07251070178044983,-0.09339011773981465,-0.12150131532889796,-0.15859673422380138,-0.11572613388642328,-0.15332658773546703,-0.11095257758998656,-0.12794637827158828
2004-07-31,0.004166992230738575,-0.003843038008750188,-0.023005634831724908,-0.04074646144020733,-0.015794030056515362,-0.029927785612778868,-0.05617824001929639,-0.05654921080368891,-0.029633422316030944,0.001274944611453277,-0.012496002031908038,0.01929076787861317,-0.012609556084080986,0.02848231809849322,-0.008313984122025775,0.005194841370865788,-0.01585144518598791,0.035011822328768316
2004-08-31,-0.05525417723397252,-0.054979517708243275,-0.025721653955151358,-0.03986283405309732,-0.039927742818108514,-0.05331158596986496,-0.04278754118431516,-0.04083927465339887,-0.05173292498665438,-0.03064573754491795,-0.010865210623904997,-0.02007593493093518,-0.031733608996466156,-0.06268100601717941,-0.061433904291441244,-0.05608237383155956,-0.0843695245331102,-0.11574301403191667
2004-09-30,0.04005400168953299,0.05374469121644099,0.05947851594733877,0.0425126911436331,0.04065941961221986,0.04748035098424719,0.033613108150667204,0.03597048857667695,0.0573245419318118,0.06635305063546237,0.04637685191240548,0.06606854509440097,0.015248796672883813,0.04880274517477945,0.06612167282637338,0.03965885379981571,0.023447322280594873,0.10100647437283339
2004-10-31,-0.06103896625915084,0.006987126561916357,-0.031105508355672717,-0.08640633507351336,-0.05167464764713503,-0.07197566192637328,-0.11098104238134832,-0.10947828747048327,-0.10516207969874314,-0.07459042172534325,-0.050479404206319245,-0.0715087913625011,-0.05240569154694619,-0.03736029481609193,-0.03343498078334817,-0.06947466683599812,-0.0758594963273933,-0.08749866404382178
2004-11-30,0.02965868748599454,0.029443377490153466,0.03215886694688441,0.054179580719056375,0.04816584971128113,0.05812350900789354,0.0763527036843703,0.08752656536287318,0.07642445460686376,0.018621541838143907,-0.011034053862593707,0.002013770939216508,0.024942550468101343,0.024379378212298075,0.02733286380984401,0.046590494781454606,0.06559118097651218,0.06199540825977423
2004-12-31,-0.0662821784830957,-0.06922504217422976,-0.049652967136194825,-0.08815096034874481,-0.07404145056072686,-0.07775632596788529,-0.11233244800610631,-0.11328185519852363,-0.09278547293614958,-0.023559893270220345,-0.04044251717276082,-0.04443485966925986,-0.06288301061089852,-0.08362833843567885,-0.08239684046287243,-0.12945147307488936,-0.12187541938379953,-0.15424488185339624
2005-01-31,-0.06716163670908504,-0.06917048045377083,-0.06942410370024343,-0.0814141488328326,-0.07112602989132066,-0.06960732258088886,-0.06376623283196858,-0.07472899501166097,-0.06713262251625252,-0.055905471951090635,-0.07013469336173384,-0.02651946058383614,-0.07363527801995595,-0.06741101438896746,-0.07346082648693786,-0.0666798563832095,-0.07712126485133863,-0.08096689100264542
2005-02-28,0.09544982647440725,0.10019437073251258,0.10110836173755366,0.10366589072730426,0.10747401581516836,0.10056012454614294,0.10987187615598892,0.10392830589068103,0.09730572336515286,0.09134516997779807,0.10256997490941333,0.09735024414819193,0.09270736086440978,0.09883800154800926,0.11056485614836187,0.10910069685018531,0.11227437657044925,0.13237935870263584
2005-03-31,-0.12831626165743526,-0.10553335376363038,-0.12166586078494723,-0.14424298001526648,-0.12984574889059552,-0.13286535169938163,-0.14879276672519726,-0.15536565842521333,-0.1476560091243243,-0.07595197070080106,-0.07372991426192599,-0.07758071849579373,-0.15761555293381457,-0.11096645530941018,-0.11874987999577391,-0.15694598713995367,-0.13699542089240613,-0.15538227961672968
2005-04-30,-0.07629860780965614,-0.03515942002897432,-0.04145160618392196,-0.08408008725541105,-0.08192697896598855,-0.07304264067434729,-0.11688558185503839,-0.1301525569554255,-0.17672848877752234,-0.0229832187842407,0.005067908198170823,0.010152121560283112,-0.0044195202046135584,-0.06828968159375759,-0.0860602604114763,-0.08908727368801606,-0.02378371308479199,-0.15990024756726406
2005-05-31,-0.034069621257887595,-0.04756997476685487,-0.05690720753288914,-0.011430343463476933,-0.007490133440176572,-0.023456802457430426,0.00296604960352731,-0.0016768599956288321,-0.02463708027291167,-0.08187585809912834,-0.11414159952366676,-0.12017441642930149,-0.03112839635352016,-0.03968576076401398,-0.10400025155286352,-0.0113197914077654,-0.03895400740728494,-0.049947060885917494
2005-06-30,0.017599321734510953,0.03024196690570613,0.032114067025193815,-0.0051687010934364785,-0.01570497351583744,0.0027795658415901148,-0.024299114211399186,-0.018095240996254702,-0.015971178327923607,0.007144086029627905,0.02972558799748204,0.026740953464306827,0.004140704581646171,0.017189064059425663,0.043876696987938946,-0.025865412208089134,0.0010313639005139486,-0.08502402811541754
